"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,7,0,11,0,4,3,4,7,0,4,0,4,13,0,0,1,0,1,3,1,5,3,2,1,0,0,4,0,6,1
"Ant30",7,0,4,13,4,0,3,2,1,1,6,2,10,0,5,8,0,0,2,3,1,8,3,2,0,1,0,2,0,3,5
"Ant148",0,4,0,0,3,0,1,0,6,2,3,6,24,0,1,0,0,0,3,2,1,11,9,9,0,11,0,8,0,4,2
"Ant191",11,13,0,0,6,2,1,0,2,0,4,0,14,14,1,9,0,0,8,2,7,1,3,9,1,2,1,3,3,2,5
"Ant196",0,4,3,6,0,1,1,2,2,0,1,14,9,0,7,6,0,0,3,33,0,3,12,6,1,1,0,4,5,11,7
"Ant209",4,0,0,2,1,0,0,1,3,8,3,11,12,3,0,7,5,0,3,0,0,4,4,6,0,0,0,1,9,0,5
"Ant308",3,3,1,1,1,0,0,10,4,0,0,2,15,1,6,9,0,0,10,8,22,14,5,19,1,8,0,4,3,1,6
"Ant13",4,2,0,0,2,1,10,0,3,0,2,3,9,0,11,0,9,0,10,4,6,15,3,6,1,5,5,1,0,4,4
"Ant27",7,1,6,2,2,3,4,3,0,0,3,2,9,8,4,3,0,0,2,3,4,5,5,2,3,5,1,5,3,0,1
"Ant29",0,1,2,0,0,8,0,0,0,0,0,0,0,31,0,2,2,0,5,3,0,5,5,2,1,0,0,0,19,0,5
"Ant32",4,6,3,4,1,3,0,2,3,0,0,15,6,22,0,5,0,0,1,1,0,1,0,11,2,0,1,0,15,0,0
"Ant43",0,2,6,0,14,11,2,3,2,0,15,0,25,3,4,5,1,0,0,6,3,19,6,7,2,0,0,3,5,1,0
"Ant50",4,10,24,14,9,12,15,9,9,0,6,25,0,3,10,10,0,0,11,15,20,24,23,11,5,9,9,10,0,22,5
"Ant91",13,0,0,14,0,3,1,0,8,31,22,3,3,0,1,25,1,0,2,3,4,8,6,9,16,4,0,1,27,3,1
"Ant97",0,5,1,1,7,0,6,11,4,0,0,4,10,1,0,3,1,0,8,14,10,26,13,0,10,32,0,8,0,0,8
"Ant100",0,8,0,9,6,7,9,0,3,2,5,5,10,25,3,0,10,0,3,2,5,23,8,10,9,1,0,5,3,2,0
"Ant139",1,0,0,0,0,5,0,9,0,2,0,1,0,1,1,10,0,4,3,3,0,6,3,1,0,0,7,22,0,0,2
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,3,0,0,0
"Ant159",1,2,3,8,3,3,10,10,2,5,1,0,11,2,8,3,3,0,0,6,0,9,12,2,2,19,0,9,0,2,1
"Ant195",3,3,2,2,33,0,8,4,3,3,1,6,15,3,14,2,3,0,6,0,6,5,7,2,2,22,0,12,0,4,21
"Ant207",1,1,1,7,0,0,22,6,4,0,0,3,20,4,10,5,0,0,0,6,0,38,11,9,2,21,0,11,1,6,26
"Ant218",5,8,11,1,3,4,14,15,5,5,1,19,24,8,26,23,6,0,9,5,38,0,10,30,13,24,9,27,0,5,12
"Ant242",3,3,9,3,12,4,5,3,5,5,0,6,23,6,13,8,3,0,12,7,11,10,0,13,5,6,0,7,0,1,17
"Ant243",2,2,9,9,6,6,19,6,2,2,11,7,11,9,0,10,1,0,2,2,9,30,13,0,22,2,0,4,5,1,2
"Ant263",1,0,0,1,1,0,1,1,3,1,2,2,5,16,10,9,0,0,2,2,2,13,5,22,0,2,0,7,5,1,2
"Ant294",0,1,11,2,1,0,8,5,5,0,0,0,9,4,32,1,0,0,19,22,21,24,6,2,2,0,0,7,0,5,13
"Ant318",0,0,0,1,0,0,0,5,1,0,1,0,9,0,0,0,7,16,0,0,0,9,0,0,0,0,0,12,0,0,0
"Ant332",4,2,8,3,4,1,4,1,5,0,0,3,10,1,8,5,22,3,9,12,11,27,7,4,7,7,12,0,0,2,2
"Ant353",0,0,0,3,5,9,3,0,3,19,15,5,0,27,0,3,0,0,0,0,1,0,0,5,5,0,0,0,0,21,0
"Ant387",6,3,4,2,11,0,1,4,0,0,0,1,22,3,0,2,0,0,2,4,6,5,1,1,1,5,0,2,21,0,0
"Ant492",1,5,2,5,7,5,6,4,1,5,0,0,5,1,8,0,2,0,1,21,26,12,17,2,2,13,0,2,0,0,0
