"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,2,4,0,5,0,0,0,1,0,0,1,5,8,1,0,2,0,6,0,1,0,0,22,0,1,0,2,1,1,4,4,1,2,5,2,1,11,1,0,21,15,0,1
"Ant6",2,0,12,0,2,1,6,2,2,3,15,1,4,2,0,3,5,22,0,19,2,17,4,0,0,3,2,11,8,4,3,3,0,2,2,1,8,8,9,6,2,0,4,6
"Ant26",4,12,0,5,4,5,17,4,11,5,0,6,2,0,0,1,8,7,0,15,9,32,13,1,0,4,6,2,32,2,16,11,1,1,0,1,18,37,17,19,4,0,5,5
"Ant30",0,0,5,0,2,0,10,2,1,2,0,6,0,0,1,0,5,0,4,2,7,3,0,2,0,1,6,2,1,1,3,12,1,5,4,11,2,7,2,1,19,5,3,2
"Ant148",5,2,4,2,0,2,4,2,2,3,0,4,0,0,6,1,16,0,0,2,6,0,2,1,0,7,12,13,0,0,5,10,1,9,4,39,0,6,0,1,0,3,5,5
"Ant191",0,1,5,0,2,0,0,0,2,4,0,0,0,6,1,0,2,0,6,11,11,3,1,5,0,6,1,0,1,0,1,6,2,3,3,17,2,7,9,1,3,0,0,1
"Ant196",0,6,17,10,4,0,0,4,3,7,0,3,0,0,4,11,16,2,0,13,6,0,0,0,0,10,22,6,0,1,6,13,9,0,1,9,6,4,6,0,2,1,3,4
"Ant209",0,2,4,2,2,0,4,0,8,6,0,4,22,5,9,3,11,3,3,0,2,0,0,7,0,3,9,8,1,0,2,9,5,6,1,2,1,0,5,3,1,4,9,0
"Ant268",1,2,11,1,2,2,3,8,0,5,0,9,0,1,4,9,7,0,0,10,13,5,0,0,0,12,7,10,2,12,12,3,12,8,5,6,2,16,11,4,2,4,11,7
"Ant308",0,3,5,2,3,4,7,6,5,0,0,10,2,2,2,6,15,0,0,3,13,0,0,5,0,3,3,2,0,14,6,14,8,1,4,2,5,18,9,0,0,3,10,7
"Ant620",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,9,5,0,5,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"Ant13",1,1,6,6,4,0,3,4,9,10,0,0,0,0,2,6,20,0,0,16,5,0,0,1,0,4,7,11,1,5,15,11,9,1,3,2,4,1,4,0,0,1,1,21
"Ant27",5,4,2,0,0,0,0,22,0,2,0,0,0,4,2,3,4,2,0,2,5,0,0,3,0,3,8,4,2,7,5,9,2,0,1,6,0,1,7,0,7,6,0,2
"Ant29",8,2,0,0,0,6,0,5,1,2,0,0,4,0,11,2,3,1,10,2,12,0,0,2,0,3,3,0,0,0,0,4,1,12,5,0,0,3,1,0,4,6,0,0
"Ant32",1,0,0,1,6,1,4,9,4,2,0,2,2,11,0,6,3,0,7,0,15,1,0,17,0,18,6,5,1,0,5,6,2,7,7,6,3,2,1,0,27,1,4,3
"Ant43",0,3,1,0,1,0,11,3,9,6,0,6,3,2,6,0,18,1,0,6,6,5,0,0,0,4,11,7,0,8,8,17,11,1,3,5,2,10,10,1,3,0,6,2
"Ant50",2,5,8,5,16,2,16,11,7,15,2,20,4,3,3,18,0,3,31,13,17,5,2,1,0,6,5,7,6,8,17,27,11,4,13,7,6,16,9,4,6,12,2,12
