"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,0,0,0,0,1,0,0,0,3,0,0,1,3,1,0,0,0,22,0,0,0,0,0,0,0,0,0,3,1,0,0,8,1,1,0,0,0,1,0,2,0,0,0
"Ant6",0,0,8,1,0,0,0,2,6,1,14,13,1,0,2,1,11,8,0,0,1,12,11,5,0,3,3,6,0,1,7,4,0,0,3,0,5,15,5,9,0,3,12,3
"Ant26",0,8,0,1,2,1,3,7,1,1,40,6,5,5,1,12,13,0,0,37,16,25,20,10,0,7,1,6,8,35,12,19,0,5,0,3,13,24,20,30,1,4,18,8
"Ant30",0,1,1,0,6,8,11,16,2,10,0,2,4,5,10,3,4,0,0,1,7,3,0,0,0,4,3,1,0,17,6,9,0,8,12,3,0,5,1,0,5,1,1,1
"Ant148",0,0,2,6,0,2,8,5,2,2,0,0,5,0,5,2,10,0,0,1,2,3,0,1,0,6,5,2,0,1,13,12,1,1,2,13,3,1,22,0,0,1,4,9
"Ant191",1,0,1,8,2,0,6,4,1,5,0,2,5,9,6,6,26,0,17,3,23,1,0,8,0,3,25,3,0,2,31,18,8,16,18,7,1,2,7,0,0,5,2,17
"Ant196",0,0,3,11,8,6,0,1,2,2,0,5,6,10,7,4,20,0,3,5,15,16,0,1,0,5,5,4,0,0,10,4,4,4,3,6,0,2,8,0,0,9,2,12
"Ant209",0,2,7,16,5,4,1,0,2,9,0,2,5,10,0,7,10,0,1,7,2,9,2,0,0,3,0,1,4,6,5,10,4,0,5,0,4,7,11,0,2,7,10,2
"Ant268",0,6,1,2,2,1,2,2,0,5,0,15,1,0,2,7,11,0,0,11,11,15,2,0,0,6,4,10,4,12,22,13,6,1,0,2,9,15,9,1,0,0,7,6
"Ant308",3,1,1,10,2,5,2,9,5,0,0,2,7,2,1,0,15,0,1,22,10,13,0,0,0,13,4,1,1,15,11,20,1,4,1,7,2,4,4,0,1,0,15,3
"Ant620",0,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,12,0,2,0,0,0,3,0,0,0,0,0,0,0,7,5,0,31,0,0,0,0
"Ant13",0,13,6,2,0,2,5,2,15,2,0,0,3,0,2,1,19,0,1,12,9,6,0,1,0,12,6,21,0,3,7,3,0,1,2,8,8,6,2,0,0,1,12,8
"Ant27",1,1,5,4,5,5,6,5,1,7,0,3,0,0,3,5,4,0,2,8,5,6,0,0,0,4,3,14,2,16,5,9,4,0,1,5,1,2,2,0,0,1,4,8
"Ant29",3,0,5,5,0,9,10,10,0,2,0,0,0,0,1,1,0,0,23,0,9,4,0,4,0,2,1,0,1,4,5,4,3,19,2,0,0,2,22,0,10,16,2,1
"Ant32",1,2,1,10,5,6,7,0,2,1,0,2,3,1,0,3,8,0,9,2,11,0,0,2,0,1,6,1,3,1,12,13,9,6,7,3,3,2,12,0,9,0,7,1
"Ant43",0,1,12,3,2,6,4,7,7,0,0,1,5,1,3,0,15,0,2,25,20,12,0,1,0,7,5,3,5,2,9,18,14,1,4,4,0,7,12,0,0,1,0,9
