"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,15,12,10,1,2,2,1,0,6,14,2,0,6,0,8,0,2,5,7,21,2,6,1,0,5,0,0,1,10,3,0,2,0,0,5,17,2,0,3,0,0,16,0,2,11,5,0,0,23,0,0,1,0,2,0,4,0,8,0,2,0,0,0,3,0
"Ant260",15,0,13,2,10,0,2,0,3,20,2,1,7,0,0,3,0,0,0,24,7,22,11,5,0,10,2,0,6,7,0,0,43,19,0,2,5,20,7,18,0,0,14,0,10,0,0,0,3,39,0,1,9,3,16,0,1,0,0,0,0,8,11,0,5,3
"Ant52",12,13,0,4,0,1,10,1,1,3,2,6,0,1,2,2,0,21,1,10,10,5,0,7,0,28,5,34,1,18,3,0,0,2,0,3,0,0,1,0,0,0,8,0,6,3,11,0,8,1,0,5,0,1,13,2,7,0,0,0,0,0,2,0,1,0
"Ant540",10,2,4,0,0,2,17,1,3,5,4,2,6,24,2,10,0,2,1,0,5,8,6,0,3,0,1,5,2,2,0,0,0,2,0,0,0,3,0,0,4,0,3,0,6,5,7,0,3,7,0,3,2,3,0,3,14,1,5,0,1,0,2,0,9,0
"Ant6",1,10,0,0,0,1,0,0,0,3,1,5,36,0,2,1,0,3,0,0,2,8,1,24,28,0,11,10,8,1,27,9,14,34,4,9,1,32,7,15,0,8,4,4,2,0,1,15,0,1,3,4,7,35,0,2,1,39,21,7,5,9,3,6,10,2
"Ant26",2,0,1,2,1,0,0,1,1,0,0,2,6,0,2,0,5,0,0,0,0,15,9,10,7,0,10,5,2,2,19,10,0,23,9,1,2,39,4,1,2,1,6,34,3,1,1,26,0,1,5,3,15,10,0,5,0,7,24,2,12,3,0,4,20,0
"Ant30",2,2,10,17,0,0,0,0,2,5,8,2,0,4,1,5,0,11,4,3,12,4,2,0,0,42,0,12,3,3,0,0,4,0,0,5,3,0,1,0,0,0,2,0,19,5,4,0,2,12,0,3,2,1,5,2,8,0,0,0,0,0,0,0,12,0
"Ant38",1,0,1,1,0,1,0,0,1,2,1,2,0,6,5,0,9,4,0,0,0,0,1,8,0,0,10,0,2,0,2,1,0,2,0,6,2,0,6,2,25,1,2,2,0,1,0,8,0,0,0,11,8,6,0,1,2,2,3,0,35,4,6,0,26,1
"Ant148",0,3,1,3,0,1,2,1,0,0,5,10,4,3,11,8,2,4,9,4,6,7,5,19,0,3,2,8,1,0,3,6,1,10,0,11,3,1,4,2,7,0,34,1,8,4,0,0,2,6,1,11,6,7,0,66,6,4,1,0,2,0,17,1,10,0
"Ant158",6,20,3,5,3,0,5,2,0,0,2,1,0,0,0,0,0,0,16,12,8,6,5,4,0,50,0,5,3,11,1,0,14,0,0,1,8,2,0,0,0,0,4,0,8,8,12,1,21,10,0,1,0,1,11,5,3,2,0,0,0,1,0,0,1,0
"Ant191",14,2,2,4,1,0,8,1,5,2,0,3,2,4,0,2,1,2,0,23,9,3,1,4,0,17,0,4,7,8,2,0,0,6,0,8,0,0,4,0,3,1,2,0,25,9,10,0,7,2,1,5,3,2,1,2,7,0,1,0,2,2,5,0,9,0
"Ant196",2,1,6,2,5,2,2,2,10,1,3,0,0,6,1,11,2,5,3,0,1,5,0,3,0,5,13,6,0,5,6,5,1,1,0,12,1,5,8,4,5,4,21,0,11,2,5,14,16,12,1,7,4,4,2,10,0,0,0,0,5,4,0,0,7,0
