"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,1,3,1,0,10,1,0,4,1,1,0,0,12,0,13,4,0,1,4,0,3,10,0,4,5,0,3,2,0,1
"Ant30",1,0,5,21,3,1,5,1,1,2,0,8,6,5,13,15,0,0,5,4,12,8,1,11,0,3,0,1,2,2,7
"Ant148",3,5,0,1,6,0,1,7,0,0,1,0,6,5,4,1,0,0,8,0,1,4,3,1,1,6,0,2,3,6,0
"Ant191",1,21,1,0,2,16,9,2,4,5,4,4,10,16,3,11,0,0,2,5,5,5,8,9,5,2,0,4,7,4,2
"Ant196",0,3,6,2,0,0,0,2,3,9,1,0,3,10,5,3,0,0,3,1,0,2,0,5,3,6,0,2,2,7,4
"Ant209",10,1,0,16,0,0,10,2,3,6,13,3,3,10,26,8,0,0,10,1,14,12,2,9,0,1,0,1,3,6,0
"Ant308",1,5,1,9,0,10,0,3,8,2,0,25,22,3,16,32,2,0,10,10,16,12,7,0,3,6,0,0,0,7,4
"Ant13",0,1,7,2,2,2,3,0,0,0,0,0,1,1,4,5,6,7,12,11,3,19,35,2,0,13,22,25,0,3,2
"Ant27",4,1,0,4,3,3,8,0,0,2,0,14,3,17,11,4,0,0,2,1,8,3,2,6,1,3,0,1,0,3,7
"Ant29",1,2,0,5,9,6,2,0,2,0,0,0,3,7,1,3,0,0,0,0,0,5,2,0,0,3,0,0,6,1,0
"Ant32",1,0,1,4,1,13,0,0,0,0,0,0,1,13,0,2,0,0,0,0,0,0,0,6,3,0,0,2,16,2,0
"Ant43",0,8,0,4,0,3,25,0,14,0,0,0,10,5,13,34,0,0,4,2,8,20,11,5,0,5,0,0,0,12,2
"Ant50",0,6,6,10,3,3,22,1,3,3,1,10,0,4,5,24,0,0,11,56,9,16,15,10,0,13,2,7,1,3,12
"Ant91",12,5,5,16,10,10,3,1,17,7,13,5,4,0,8,22,0,0,1,0,6,2,4,5,1,4,0,2,36,12,1
"Ant97",0,13,4,3,5,26,16,4,11,1,0,13,5,8,0,20,0,0,27,11,6,35,8,9,0,23,0,1,3,0,4
"Ant100",13,15,1,11,3,8,32,5,4,3,2,34,24,22,20,0,8,0,23,23,26,14,16,5,14,13,3,12,4,12,20
"Ant139",4,0,0,0,0,0,2,6,0,0,0,0,0,0,0,8,0,7,3,4,0,21,11,0,0,8,7,3,0,0,0
"Ant156",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,15,0,0,0,0,2,5,0,0,0
"Ant159",1,5,8,2,3,10,10,12,2,0,0,4,11,1,27,23,3,0,0,3,9,17,12,9,3,26,5,32,0,1,8
"Ant195",4,4,0,5,1,1,10,11,1,0,0,2,56,0,11,23,4,0,3,0,29,24,20,4,5,7,1,1,0,1,22
"Ant207",0,12,1,5,0,14,16,3,8,0,0,8,9,6,6,26,0,0,9,29,0,19,29,4,0,2,0,1,0,2,13
"Ant218",3,8,4,5,2,12,12,19,3,5,0,20,16,2,35,14,21,15,17,24,19,0,38,13,15,21,29,16,2,2,26
"Ant242",10,1,3,8,0,2,7,35,2,2,0,11,15,4,8,16,11,0,12,20,29,38,0,17,5,31,7,20,2,8,5
"Ant243",0,11,1,9,5,9,0,2,6,0,6,5,10,5,9,5,0,0,9,4,4,13,17,0,7,8,0,0,11,3,0
"Ant263",4,0,1,5,3,0,3,0,1,0,3,0,0,1,0,14,0,0,3,5,0,15,5,7,0,3,0,8,0,3,0
"Ant294",5,3,6,2,6,1,6,13,3,3,0,5,13,4,23,13,8,0,26,7,2,21,31,8,3,0,5,13,1,1,14
"Ant318",0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,3,7,2,5,1,0,29,7,0,0,5,0,22,0,1,0
"Ant332",3,1,2,4,2,1,0,25,1,0,2,0,7,2,1,12,3,5,32,1,1,16,20,0,8,13,22,0,2,2,1
"Ant353",2,2,3,7,2,3,0,0,0,6,16,0,1,36,3,4,0,0,0,0,0,2,2,11,0,1,0,2,0,11,1
"Ant387",0,2,6,4,7,6,7,3,3,1,2,12,3,12,0,12,0,0,1,1,2,2,8,3,3,1,1,2,11,0,3
"Ant492",1,7,0,2,4,0,4,2,7,0,0,2,12,1,4,20,0,0,8,22,13,26,5,0,0,14,0,1,1,3,0
