"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,2,0,1,1,0,1,0,0,7,0,2,7,42,3,5,0,0,0,0,2,5,4,5,14,0,3,1,7,0,0
"Ant30",2,0,4,1,5,0,0,1,5,0,2,3,4,1,5,4,0,0,3,4,12,10,3,9,2,1,2,3,1,4,1
"Ant148",0,4,0,1,13,0,10,4,9,0,0,0,9,1,7,6,0,0,5,7,9,3,2,2,3,5,0,5,2,8,9
"Ant191",1,1,1,0,3,0,1,4,1,6,3,0,4,24,6,3,0,0,0,2,2,5,10,4,1,2,0,0,3,0,4
"Ant196",1,5,13,3,0,0,19,2,6,1,2,1,13,1,12,9,0,0,9,9,2,7,4,8,4,9,2,3,2,1,0
"Ant209",0,0,0,0,0,0,4,1,4,1,0,5,9,4,0,4,0,0,0,1,0,12,0,0,0,0,3,2,1,0,3
"Ant308",1,0,10,1,19,4,0,7,12,2,3,16,3,0,8,6,0,0,13,8,14,11,13,12,4,1,2,3,4,4,9
"Ant13",0,1,4,4,2,1,7,0,3,2,0,4,13,1,12,2,0,0,6,11,2,21,6,8,1,11,0,3,2,3,15
"Ant27",0,5,9,1,6,4,12,3,0,4,0,4,3,4,12,2,0,0,2,8,4,7,5,0,1,1,0,0,1,0,1
"Ant29",7,0,0,6,1,1,2,2,4,0,6,3,2,43,1,14,0,0,0,0,0,4,3,3,6,0,0,0,3,17,0
"Ant32",0,2,0,3,2,0,3,0,0,6,0,0,7,3,1,2,0,0,1,0,0,8,1,5,4,0,0,6,21,0,0
"Ant43",2,3,0,0,1,5,16,4,4,3,0,0,5,0,16,9,0,0,4,5,37,29,12,2,3,1,0,0,0,0,11
"Ant50",7,4,9,4,13,9,3,13,3,2,7,5,0,4,12,9,0,2,6,10,14,11,8,8,0,11,2,7,3,4,26
"Ant91",42,1,1,24,1,4,0,1,4,43,3,0,4,0,2,22,0,0,0,1,1,10,1,1,22,1,0,0,34,2,0
"Ant97",3,5,7,6,12,0,8,12,12,1,1,16,12,2,0,2,0,0,10,14,11,24,8,12,0,8,8,3,7,0,18
"Ant100",5,4,6,3,9,4,6,2,2,14,2,9,9,22,2,0,0,0,7,1,3,27,8,9,5,0,0,4,2,3,0
"Ant139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Ant159",0,3,5,0,9,0,13,6,2,0,1,4,6,0,10,7,0,0,0,10,26,15,10,2,0,15,1,4,8,1,6
"Ant195",0,4,7,2,9,1,8,11,8,0,0,5,10,1,14,1,0,0,10,0,8,16,8,10,0,15,3,0,0,1,29
"Ant207",2,12,9,2,2,0,14,2,4,0,0,37,14,1,11,3,0,0,26,8,0,55,14,0,4,1,3,3,4,2,17
"Ant218",5,10,3,5,7,12,11,21,7,4,8,29,11,10,24,27,0,0,15,16,55,0,13,5,5,3,3,11,3,4,3
"Ant242",4,3,2,10,4,0,13,6,5,3,1,12,8,1,8,8,0,0,10,8,14,13,0,19,0,2,4,7,3,7,4
"Ant243",5,9,2,4,8,0,12,8,0,3,5,2,8,1,12,9,0,0,2,10,0,5,19,0,6,1,4,4,2,13,4
"Ant263",14,2,3,1,4,0,4,1,1,6,4,3,0,22,0,5,0,0,0,0,4,5,0,6,0,0,0,4,2,2,0
"Ant294",0,1,5,2,9,0,1,11,1,0,0,1,11,1,8,0,0,0,15,15,1,3,2,1,0,0,1,12,6,0,3
"Ant318",3,2,0,0,2,3,2,0,0,0,0,0,2,0,8,0,1,2,1,3,3,3,4,4,0,1,0,2,0,3,0
"Ant332",1,3,5,0,3,2,3,3,0,0,6,0,7,0,3,4,2,0,4,0,3,11,7,4,4,12,2,0,0,3,0
"Ant353",7,1,2,3,2,1,4,2,1,3,21,0,3,34,7,2,0,0,8,0,4,3,3,2,2,6,0,0,0,2,0
"Ant387",0,4,8,0,1,0,4,3,0,17,0,0,4,2,0,3,0,0,1,1,2,4,7,13,2,0,3,3,2,0,0
"Ant492",0,1,9,4,0,3,9,15,1,0,0,11,26,0,18,0,0,0,6,29,17,3,4,4,0,3,0,0,0,0,0
