"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,0,2,6,3,3,2,2,0,0,0,0,11,19,0,1,1,0,4,0,1,8,2,6,0,10,0,3,28,0,0
"Ant30",0,0,5,0,6,11,6,0,5,2,0,4,11,1,5,8,2,0,1,0,16,0,0,3,18,1,0,1,1,6,2
"Ant148",2,5,0,2,2,0,6,0,21,0,3,1,5,4,9,2,15,0,3,6,21,3,3,3,1,11,0,3,5,0,1
"Ant191",6,0,2,0,15,7,2,4,1,1,4,0,11,6,8,9,0,0,5,5,1,11,2,15,4,3,0,3,4,10,4
"Ant196",3,6,2,15,0,3,12,0,3,0,0,3,7,1,4,1,0,0,7,4,0,11,7,8,5,9,0,5,6,3,6
"Ant209",3,11,0,7,3,0,24,4,1,2,2,2,16,1,8,6,0,0,2,2,7,6,6,12,2,1,2,3,0,3,5
"Ant308",2,6,6,2,12,24,0,6,2,1,6,13,15,1,14,7,1,0,5,17,19,8,8,24,2,9,6,9,6,3,3
"Ant13",2,0,0,4,0,4,6,0,0,2,3,0,13,1,0,0,4,12,3,7,0,25,21,1,1,16,10,14,8,0,8
"Ant27",0,5,21,1,3,1,2,0,0,2,1,0,2,3,4,12,6,0,4,2,1,1,1,0,3,4,0,1,0,3,4
"Ant29",0,2,0,1,0,2,1,2,2,0,3,0,4,5,15,3,0,0,0,0,8,3,4,6,1,2,0,0,2,3,1
"Ant32",0,0,3,4,0,2,6,3,1,3,0,0,3,32,2,5,0,0,1,0,0,0,2,0,0,1,0,0,17,0,0
"Ant43",0,4,1,0,3,2,13,0,0,0,0,0,8,0,41,18,0,0,6,2,17,11,1,5,4,1,0,4,0,9,1
"Ant50",11,11,5,11,7,16,15,13,2,4,3,8,0,7,21,7,2,0,15,7,16,26,21,6,3,10,6,1,8,8,9
"Ant91",19,1,4,6,1,1,1,1,3,5,32,0,7,0,0,6,0,0,0,0,2,2,1,0,0,1,0,3,19,7,0
"Ant97",0,5,9,8,4,8,14,0,4,15,2,41,21,0,0,10,0,0,11,5,4,20,12,12,3,5,0,1,2,2,6
"Ant100",1,8,2,9,1,6,7,0,12,3,5,18,7,6,10,0,0,0,11,4,2,5,1,1,17,16,1,3,7,3,3
"Ant139",1,2,15,0,0,0,1,4,6,0,0,0,2,0,0,0,0,0,0,1,2,4,11,1,1,6,5,3,1,0,0
"Ant156",0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,22,5,0,0,0
"Ant159",4,1,3,5,7,2,5,3,4,0,1,6,15,0,11,11,0,0,0,11,5,10,8,25,3,4,0,5,4,3,14
"Ant195",0,0,6,5,4,2,17,7,2,0,0,2,7,0,5,4,1,0,11,0,0,18,16,5,7,19,0,9,8,3,20
"Ant207",1,16,21,1,0,7,19,0,1,8,0,17,16,2,4,2,2,0,5,0,0,53,4,22,7,8,0,2,0,0,0
"Ant218",8,0,3,11,11,6,8,25,1,3,0,11,26,2,20,5,4,7,10,18,53,0,28,7,10,19,6,23,3,2,5
"Ant242",2,0,3,2,7,6,8,21,1,4,2,1,21,1,12,1,11,0,8,16,4,28,0,3,3,20,0,20,2,1,13
"Ant243",6,3,3,15,8,12,24,1,0,6,0,5,6,0,12,1,1,0,25,5,22,7,3,0,2,7,1,4,25,1,3
"Ant263",0,18,1,4,5,2,2,1,3,1,0,4,3,0,3,17,1,0,3,7,7,10,3,2,0,4,0,4,1,2,8
"Ant294",10,1,11,3,9,1,9,16,4,2,1,1,10,1,5,16,6,0,4,19,8,19,20,7,4,0,1,12,8,0,5
"Ant318",0,0,0,0,0,2,6,10,0,0,0,0,6,0,0,1,5,22,0,0,0,6,0,1,0,1,0,18,2,0,0
"Ant332",3,1,3,3,5,3,9,14,1,0,0,4,1,3,1,3,3,5,5,9,2,23,20,4,4,12,18,0,2,0,9
"Ant353",28,1,5,4,6,0,6,8,0,2,17,0,8,19,2,7,1,0,4,8,0,3,2,25,1,8,2,2,0,0,1
"Ant387",0,6,0,10,3,3,3,0,3,3,0,9,8,7,2,3,0,0,3,3,0,2,1,1,2,0,0,0,0,0,2
"Ant492",0,2,1,4,6,5,3,8,4,1,0,1,9,0,6,3,0,0,14,20,0,5,13,3,8,5,0,9,1,2,0
