"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,1,1,2,1,1,10,3,0,3,0,2,0,1,2,1,1,0,7,2,4,0,0,2,0,0,13,0,0,0,3,1,3,0,3,0,0,3,0,3,10,2,3,0
"Ant6",1,0,2,1,1,4,0,2,5,3,6,3,3,0,1,1,10,0,0,5,7,6,4,5,2,3,1,5,4,1,18,2,0,1,0,4,12,8,10,3,0,0,4,3
"Ant26",1,2,0,3,5,4,26,11,20,12,0,40,2,7,0,9,15,0,2,27,37,16,0,14,0,3,7,19,39,17,18,15,8,1,7,15,13,22,46,11,1,5,31,7
"Ant30",2,1,3,0,5,9,11,6,0,19,0,1,8,3,8,6,6,0,0,5,7,0,0,2,0,2,17,4,2,4,4,5,4,7,13,10,0,0,5,2,1,8,2,3
"Ant148",1,1,5,5,0,4,23,2,6,0,0,3,9,5,4,6,12,0,0,5,4,2,0,5,0,6,0,4,2,1,3,11,7,5,1,10,1,3,15,1,0,0,19,27
"Ant191",1,4,4,9,4,0,0,15,0,1,0,0,6,2,6,0,9,0,41,7,12,4,0,3,0,7,4,11,0,6,1,7,3,0,5,13,0,0,3,0,7,0,16,10
"Ant196",10,0,26,11,23,0,0,1,2,3,0,17,8,0,3,11,14,0,11,3,1,3,0,3,0,1,3,5,2,0,21,6,18,0,3,5,0,13,16,4,3,1,5,6
"Ant209",3,2,11,6,2,15,1,0,5,3,0,6,4,0,0,6,9,0,1,2,10,0,0,6,0,22,2,6,1,4,2,7,8,2,13,2,0,1,9,4,0,1,6,4
"Ant268",0,5,20,0,6,0,2,5,0,8,0,3,3,0,0,12,6,0,1,7,8,11,0,1,0,8,6,8,2,7,15,4,2,0,1,5,4,4,8,6,0,1,7,0
"Ant308",3,3,12,19,0,1,3,3,8,0,0,2,5,3,0,26,9,0,5,12,7,6,0,2,0,6,3,9,5,30,15,5,8,11,0,4,1,2,9,2,2,0,5,17
"Ant620",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,21,0,16,0,0,0,8,0,0,0,0,0,0,0,37,5,0,10,0,0,0,0
"Ant13",2,3,40,1,3,0,17,6,3,2,0,0,6,0,5,1,8,0,2,17,3,5,0,0,0,9,3,21,2,1,17,17,0,4,0,6,1,5,14,0,1,2,11,5
"Ant27",0,3,2,8,9,6,8,4,3,5,0,6,0,5,4,6,6,0,2,2,0,3,0,0,0,3,8,2,0,0,1,7,2,1,2,3,0,1,8,1,0,2,9,1
"Ant29",1,0,7,3,5,2,0,0,0,3,0,0,5,0,5,3,8,0,19,0,3,0,0,4,0,0,7,0,1,0,2,1,13,6,17,3,0,3,1,3,2,1,1,1
"Ant32",2,1,0,8,4,6,3,0,0,0,0,5,4,5,0,1,3,0,26,0,16,0,0,0,0,0,2,0,0,5,1,3,3,4,0,5,0,0,2,1,0,3,0,0
"Ant43",1,1,9,6,6,0,11,6,12,26,0,1,6,3,1,0,8,0,3,10,3,12,0,2,0,2,15,1,7,9,19,3,21,6,12,3,11,1,12,1,7,0,6,2
"Ant50",1,10,15,6,12,9,14,9,6,9,3,8,6,8,3,8,0,8,21,25,18,6,0,23,0,3,11,3,2,13,12,11,19,12,4,11,3,5,8,3,4,4,26,15
"Ant55",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0
"Ant91",7,0,2,0,0,41,11,1,1,5,0,2,2,19,26,3,21,0,0,1,6,1,0,5,0,1,10,0,2,2,3,11,2,41,1,3,0,0,8,1,47,5,1,0
"Ant97",2,5,27,5,5,7,3,2,7,12,0,17,2,0,0,10,25,0,1,0,1,26,0,1,0,12,1,1,3,25,35,7,3,0,9,28,3,20,6,5,0,6,10,2
"Ant100",4,7,37,7,4,12,1,10,8,7,0,3,0,3,16,3,18,0,6,1,0,10,0,10,0,9,13,5,7,24,23,10,7,6,3,16,4,5,8,4,1,1,6,4
"Ant113",0,6,16,0,2,4,3,0,11,6,0,5,3,0,0,12,6,0,1,26,10,0,0,12,0,3,2,16,34,15,8,10,7,3,1,4,1,20,94,20,1,1,14,0
"Ant139",0,4,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,4,0,0,0,0
"Ant142",2,5,14,2,5,3,3,6,1,2,0,0,0,4,0,2,23,2,5,1,10,12,0,0,0,4,3,0,11,25,7,8,4,1,7,14,2,19,20,6,2,1,9,0
"Ant156",0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant159",0,3,3,2,6,7,1,22,8,6,0,9,3,0,0,2,3,0,1,12,9,3,0,4,0,0,5,2,1,6,5,21,4,6,1,3,2,5,12,2,2,6,5,12
"Ant169",13,1,7,17,0,4,3,2,6,3,0,3,8,7,2,15,11,0,10,1,13,2,0,3,0,5,0,1,1,10,7,1,8,5,19,10,1,2,9,3,0,1,0,2
"Ant195",0,5,19,4,4,11,5,6,8,9,0,21,2,0,0,1,3,0,0,1,5,16,0,0,0,2,1,0,0,5,11,16,1,0,2,5,4,7,15,2,0,0,12,1
"Ant198",0,4,39,2,2,0,2,1,2,5,8,2,0,1,0,7,2,0,2,3,7,34,0,11,0,1,1,0,0,7,6,4,4,2,1,2,8,16,20,11,2,2,6,2
"Ant207",0,1,17,4,1,6,0,4,7,30,0,1,0,0,5,9,13,0,2,25,24,15,0,25,0,6,10,5,7,0,9,10,6,1,5,3,0,12,20,0,1,5,7,13
"Ant218",3,18,18,4,3,1,21,2,15,15,0,17,1,2,1,19,12,0,3,35,23,8,0,7,0,5,7,11,6,9,0,25,5,1,2,6,8,12,19,6,2,1,7,8
"Ant242",1,2,15,5,11,7,6,7,4,5,0,17,7,1,3,3,11,0,11,7,10,10,0,8,0,21,1,16,4,10,25,0,3,2,0,11,4,12,9,2,10,5,15,7
"Ant243",3,0,8,4,7,3,18,8,2,8,0,0,2,13,3,21,19,0,2,3,7,7,0,4,0,4,8,1,4,6,5,3,0,4,14,0,2,3,2,0,0,0,9,1
"Ant255",0,1,1,7,5,0,0,2,0,11,0,4,1,6,4,6,12,0,41,0,6,3,0,1,0,6,5,0,2,1,1,2,4,0,5,0,0,2,2,0,2,0,1,6
"Ant263",3,0,7,13,1,5,3,13,1,0,0,0,2,17,0,12,4,0,1,9,3,1,0,7,0,1,19,2,1,5,2,0,14,5,0,1,0,0,5,1,3,0,0,1
"Ant294",0,4,15,10,10,13,5,2,5,4,0,6,3,3,5,3,11,0,3,28,16,4,0,14,0,3,10,5,2,3,6,11,0,0,1,0,2,3,8,3,1,2,5,17
"Ant318",0,12,13,0,1,0,0,0,4,1,37,1,0,0,0,11,3,0,0,3,4,1,13,2,0,2,1,4,8,0,8,4,2,0,0,2,0,7,5,9,0,0,10,5
"Ant332",3,8,22,0,3,0,13,1,4,2,5,5,1,3,0,1,5,5,0,20,5,20,8,19,0,5,2,7,16,12,12,12,3,2,0,3,7,0,39,20,0,1,10,4
"Ant342",0,10,46,5,15,3,16,9,8,9,0,14,8,1,2,12,8,0,8,6,8,94,0,20,0,12,9,15,20,20,19,9,2,2,5,8,5,39,0,9,3,4,17,7
"Ant347",3,3,11,2,1,0,4,4,6,2,10,0,1,3,1,1,3,4,1,5,4,20,4,6,0,2,3,2,11,0,6,2,0,0,1,3,9,20,9,0,1,0,1,1
"Ant353",10,0,1,1,0,7,3,0,0,2,0,1,0,2,0,7,4,0,47,0,1,1,0,2,0,2,0,0,2,1,2,10,0,2,3,1,0,0,3,1,0,1,7,0
"Ant387",2,0,5,8,0,0,1,1,1,0,0,2,2,1,3,0,4,0,5,6,1,1,0,1,0,6,1,0,2,5,1,5,0,0,0,2,0,1,4,0,1,0,0,7
"Ant437",3,4,31,2,19,16,5,6,7,5,0,11,9,1,0,6,26,0,1,10,6,14,0,9,0,5,0,12,6,7,7,15,9,1,0,5,10,10,17,1,7,0,0,13
"Ant492",0,3,7,3,27,10,6,4,0,17,0,5,1,1,0,2,15,0,0,2,4,0,0,0,0,12,2,1,2,13,8,7,1,6,1,17,5,4,7,1,0,7,13,0
