"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,0,0,4,0,1,0,1,0,3,7,0,0,12,0,4,0,0,0,0,0,1,4,2,3,0,0,0,7,3,0
"Ant30",0,0,8,10,13,5,12,3,2,0,0,3,4,1,1,12,1,0,1,7,4,10,0,4,1,8,0,0,2,3,2
"Ant148",0,8,0,9,3,16,9,1,14,0,8,8,0,2,6,13,0,0,2,5,1,2,2,3,5,1,0,0,7,6,6
"Ant191",4,10,9,0,7,12,2,4,8,4,11,1,2,46,2,7,0,0,13,3,3,11,15,9,1,8,0,2,2,3,1
"Ant196",0,13,3,7,0,3,8,0,2,0,0,0,9,0,1,4,0,0,2,3,0,3,1,5,0,4,0,2,4,1,3
"Ant209",1,5,16,12,3,0,1,0,9,1,9,9,4,1,0,12,1,0,2,2,0,11,2,1,1,1,0,2,2,8,1
"Ant308",0,12,9,2,8,1,0,1,2,0,0,10,13,0,12,45,9,0,7,5,14,11,4,10,1,10,0,4,0,6,2
"Ant13",1,3,1,4,0,0,1,0,5,3,2,3,2,1,3,1,1,59,35,0,6,38,10,3,6,14,10,18,5,0,0
"Ant27",0,2,14,8,2,9,2,5,0,0,5,18,1,7,1,5,0,0,5,1,3,12,2,3,0,6,1,0,2,13,7
"Ant29",3,0,0,4,0,1,0,3,0,0,12,0,5,14,0,1,0,0,0,0,0,2,3,3,3,1,0,0,4,0,0
"Ant32",7,0,8,11,0,9,0,2,5,12,0,2,0,7,3,7,0,0,6,0,0,0,2,3,1,3,0,0,0,1,2
"Ant43",0,3,8,1,0,9,10,3,18,0,2,0,2,0,11,11,2,0,4,7,3,7,1,13,0,5,0,1,6,2,3
"Ant50",0,4,0,2,9,4,13,2,1,5,0,2,0,3,6,4,6,0,8,42,8,5,10,6,8,22,0,6,1,1,1
"Ant91",12,1,2,46,0,1,0,1,7,14,7,0,3,0,0,11,0,0,5,0,0,3,6,6,1,2,0,0,18,10,0
"Ant97",0,1,6,2,1,0,12,3,1,0,3,11,6,0,0,25,20,0,9,13,4,4,7,23,0,9,0,27,0,0,2
"Ant100",4,12,13,7,4,12,45,1,5,1,7,11,4,11,25,0,1,0,33,12,13,18,21,3,6,26,1,17,4,9,10
"Ant139",0,1,0,0,0,1,9,1,0,0,0,2,6,0,20,1,0,2,5,3,0,10,0,0,1,6,7,2,0,0,0
"Ant156",0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,2,0,17,0,0,26,0,0,0,0,8,11,0,0,0
"Ant159",0,1,2,13,2,2,7,35,5,0,6,4,8,5,9,33,5,17,0,6,8,27,19,12,1,14,13,8,0,1,8
"Ant195",0,7,5,3,3,2,5,0,1,0,0,7,42,0,13,12,3,0,6,0,10,5,8,0,5,4,0,3,0,2,6
"Ant207",0,4,1,3,0,0,14,6,3,0,0,3,8,0,4,13,0,0,8,10,0,24,24,2,9,21,0,36,0,6,3
"Ant218",1,10,2,11,3,11,11,38,12,2,0,7,5,3,4,18,10,26,27,5,24,0,49,15,13,34,8,27,2,6,18
"Ant242",4,0,2,15,1,2,4,10,2,3,2,1,10,6,7,21,0,0,19,8,24,49,0,15,10,20,8,14,7,4,8
"Ant243",2,4,3,9,5,1,10,3,3,3,3,13,6,6,23,3,0,0,12,0,2,15,15,0,0,20,0,7,0,2,1
"Ant263",3,1,5,1,0,1,1,6,0,3,1,0,8,1,0,6,1,0,1,5,9,13,10,0,0,4,1,0,6,9,0
"Ant294",0,8,1,8,4,1,10,14,6,1,3,5,22,2,9,26,6,0,14,4,21,34,20,20,4,0,1,3,0,1,6
"Ant318",0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,1,7,8,13,0,0,8,8,0,1,1,0,11,0,1,7
"Ant332",0,0,0,2,2,2,4,18,0,0,0,1,6,0,27,17,2,11,8,3,36,27,14,7,0,3,11,0,2,1,16
"Ant353",7,2,7,2,4,2,0,5,2,4,0,6,1,18,0,4,0,0,0,0,0,2,7,0,6,0,0,2,0,6,0
"Ant387",3,3,6,3,1,8,6,0,13,0,1,2,1,10,0,9,0,0,1,2,6,6,4,2,9,1,1,1,6,0,1
"Ant492",0,2,6,1,3,1,2,0,7,0,2,3,1,0,2,10,0,0,8,6,3,18,8,1,0,6,7,16,0,1,0
