"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,0,3,14,0,0,1,0,3,0,2,0,0,3,0,0,0,0,10,10,6,3,0,4,0,46,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,16,0,0,0,0,0,30,1,16,0,0,0,0,0,0,1,1,0
"Ant260",0,0,4,1,1,0,4,4,6,1,0,18,0,24,13,4,1,9,0,18,0,2,0,4,2,1,0,13,0,33,3,0,5,3,0,9,5,2,0,0,2,0,1,2,8,21,4,0,9,3,0,0,3,1,1,8,8,3,0,0,0,0,9,0,12,2
"Ant52",3,4,0,2,1,0,5,1,3,0,1,2,0,4,0,17,0,9,3,1,2,8,3,7,0,0,0,12,4,2,1,0,0,3,0,0,1,6,11,0,0,0,7,2,6,1,5,0,0,3,0,1,0,0,1,2,3,0,0,0,2,1,0,1,1,0
"Ant540",14,1,2,0,0,0,12,0,0,0,7,1,0,0,1,1,0,2,1,10,9,6,0,1,0,20,3,6,0,17,0,1,6,1,0,1,1,0,3,0,0,0,2,0,6,5,7,0,5,4,0,1,1,0,7,2,2,0,0,0,0,2,2,0,2,0
"Ant6",0,1,1,0,0,5,7,6,0,8,1,3,31,4,4,2,17,3,0,0,0,15,0,12,27,2,3,3,2,7,10,42,3,8,9,2,1,29,4,15,0,9,9,7,2,1,0,26,0,6,5,9,12,22,2,3,0,43,7,8,11,15,5,10,10,8
"Ant26",0,0,0,0,5,0,0,0,0,6,0,0,33,0,3,0,9,0,0,0,0,0,0,5,47,0,0,0,21,0,13,78,0,11,4,0,0,16,0,5,0,14,0,24,0,0,0,6,0,0,26,4,0,17,0,0,0,45,19,18,10,5,0,10,2,4
"Ant30",1,4,5,12,7,0,0,3,17,1,2,7,1,13,3,11,0,5,9,0,5,10,5,4,3,0,3,11,1,12,1,1,7,6,0,6,4,6,18,1,1,0,14,0,3,5,10,0,4,14,0,1,6,0,2,5,8,0,0,0,0,1,2,0,11,0
"Ant38",0,4,1,0,6,0,3,0,2,0,0,6,4,1,4,14,4,4,6,0,1,6,3,4,1,0,11,3,0,5,17,0,4,1,0,2,0,8,12,4,21,4,13,5,4,1,1,0,0,9,0,2,16,2,5,13,0,0,0,0,4,15,5,7,6,0
"Ant148",3,6,3,0,0,0,17,2,0,0,2,1,3,0,6,1,0,3,8,0,5,8,3,0,2,0,5,2,0,1,1,1,5,0,0,13,0,7,10,1,5,0,13,0,36,0,0,0,1,8,0,0,3,1,1,23,5,0,0,0,0,3,7,0,10,1
"Ant158",0,1,0,0,8,6,1,0,0,0,0,1,4,0,1,0,27,0,2,0,0,16,2,11,35,0,5,1,6,10,15,43,5,12,9,0,5,8,0,10,0,14,10,32,2,1,0,6,1,0,12,2,6,10,1,4,0,8,10,2,5,2,5,3,4,12
