"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,1,2,7,2,4,1,6,4,4,0,2,3,0,8,0,5,3,3,2,9,0,0,2,0,7,1,0,1,0,6,1,13,8,4,5,1,2,1,0,1,2,1,9
"Ant6",1,0,16,0,0,0,2,1,4,1,16,0,2,0,1,2,4,7,0,2,3,8,9,1,2,5,1,3,32,2,8,1,0,3,1,9,3,21,10,7,2,0,3,3
"Ant26",2,16,0,2,5,6,11,7,22,3,0,2,4,7,0,4,8,3,3,18,24,39,10,16,0,5,4,6,17,18,35,16,6,4,8,3,7,43,41,6,1,2,10,0
"Ant30",7,0,2,0,5,1,4,6,6,5,0,1,2,10,2,6,4,0,0,0,5,1,0,5,0,10,5,1,1,1,8,0,2,10,12,25,1,4,3,0,1,5,9,1
"Ant148",2,0,5,5,0,12,33,3,5,1,0,7,0,3,3,2,25,0,0,4,2,0,0,1,0,2,0,10,1,2,11,31,1,2,0,15,4,4,1,1,1,4,10,3
"Ant191",4,0,6,1,12,0,4,8,7,5,0,1,0,6,4,24,17,0,17,5,3,5,0,17,0,12,2,4,3,2,4,9,5,7,8,3,0,1,9,2,5,0,4,2
"Ant196",1,2,11,4,33,4,0,24,12,14,0,4,3,0,4,5,14,1,2,5,2,1,0,0,0,8,3,6,1,1,8,15,7,2,3,11,4,1,1,0,0,0,8,16
"Ant209",6,1,7,6,3,8,24,0,5,2,0,1,1,1,14,16,1,3,0,5,2,5,0,0,0,2,3,0,2,13,3,4,2,17,1,3,2,1,12,0,0,0,4,6
"Ant268",4,4,22,6,5,7,12,5,0,7,0,4,2,9,3,10,17,3,2,16,9,0,2,6,0,10,5,3,5,11,29,11,1,5,2,4,1,25,12,2,2,1,7,9
"Ant308",4,1,3,5,1,5,14,2,7,0,0,3,1,4,4,12,14,0,0,8,36,1,0,0,0,5,10,4,0,0,7,10,2,8,10,19,7,0,4,0,2,15,6,17
"Ant620",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,26,0,30,0,0,0,15,0,0,0,0,0,0,0,5,0,0,17,0,0,0,0
"Ant13",2,0,2,1,7,1,4,1,4,3,0,0,1,0,0,12,4,0,0,11,11,0,0,0,0,16,3,8,2,6,7,10,3,1,4,1,1,4,10,2,0,3,10,2
"Ant27",3,2,4,2,0,0,3,1,2,1,0,1,0,1,14,0,3,0,1,0,15,6,0,3,0,1,5,2,2,0,1,3,1,0,12,1,0,0,1,0,2,0,1,2
"Ant29",0,0,7,10,3,6,0,1,9,4,0,0,1,0,2,1,6,0,2,4,8,6,0,0,0,0,8,2,0,2,1,3,0,15,5,4,1,7,5,0,0,1,5,4
"Ant32",8,1,0,2,3,4,4,14,3,4,0,0,14,2,0,1,12,0,11,1,2,2,0,7,0,8,9,0,0,1,3,4,8,11,14,12,0,1,6,1,10,3,1,1
"Ant43",0,2,4,6,2,24,5,16,10,12,0,12,0,1,1,0,6,0,0,2,1,1,2,1,0,4,4,3,0,3,7,13,1,2,5,5,5,14,9,4,0,0,4,9
"Ant50",5,4,8,4,25,17,14,1,17,14,0,4,3,6,12,6,0,0,4,11,12,4,0,5,0,19,4,7,0,7,9,18,5,4,7,49,3,4,10,0,3,6,18,28
"Ant55",3,7,3,0,0,0,1,3,3,0,4,0,0,0,0,0,0,0,0,0,1,19,6,0,0,0,0,0,7,1,0,1,1,1,0,2,0,10,25,9,0,0,3,0
"Ant91",3,0,3,0,0,17,2,0,2,0,0,0,1,2,11,0,4,0,0,0,17,2,0,5,1,0,2,1,0,0,6,35,4,38,0,2,0,0,0,0,62,13,0,0
"Ant97",2,2,18,0,4,5,5,5,16,8,0,11,0,4,1,2,11,0,0,0,3,0,1,0,0,10,1,6,1,3,9,8,0,1,0,2,7,2,1,0,2,1,25,2
"Ant100",9,3,24,5,2,3,2,2,9,36,0,11,15,8,2,1,12,1,17,3,0,0,2,2,0,5,13,3,4,13,14,11,13,6,16,5,5,9,8,0,12,4,0,7
"Ant113",0,8,39,1,0,5,1,5,0,1,1,0,6,6,2,1,4,19,2,0,0,0,2,0,4,0,0,6,8,0,7,7,2,1,0,2,21,13,7,2,0,1,3,0
"Ant139",0,9,10,0,0,0,0,0,2,0,26,0,0,0,0,2,0,6,0,1,2,2,0,0,0,0,0,0,6,0,7,0,0,0,0,0,1,12,1,1,0,0,0,0
"Ant142",2,1,16,5,1,17,0,0,6,0,0,0,3,0,7,1,5,0,5,0,2,0,0,0,0,0,0,0,0,0,14,13,14,9,2,2,0,2,3,0,2,11,2,12
"Ant156",0,2,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,2,14,0,0,0,1,0,0,0,0,1,0,2,0,0,3,0
"Ant159",7,5,5,10,2,12,8,2,10,5,0,16,1,0,8,4,19,0,0,10,5,0,0,0,1,0,0,6,0,3,5,8,1,2,7,7,0,12,2,1,0,0,3,7
"Ant169",1,1,4,5,0,2,3,3,5,10,0,3,5,8,9,4,4,0,2,1,13,0,0,0,0,0,0,1,0,5,5,14,0,1,12,1,0,1,12,0,3,7,2,8
"Ant195",0,3,6,1,10,4,6,0,3,4,0,8,2,2,0,3,7,0,1,6,3,6,0,0,2,6,1,0,0,1,3,1,3,0,0,6,18,12,11,0,0,1,0,1
"Ant198",1,32,17,1,1,3,1,2,5,0,15,2,2,0,0,0,0,7,0,1,4,8,6,0,14,0,0,0,0,2,5,0,0,4,3,0,7,16,18,17,0,0,5,2
"Ant207",0,2,18,1,2,2,1,13,11,0,0,6,0,2,1,3,7,1,0,3,13,0,0,0,0,3,5,1,2,0,2,3,0,0,1,1,0,6,10,0,0,0,12,1
"Ant218",6,8,35,8,11,4,8,3,29,7,0,7,1,1,3,7,9,0,6,9,14,7,7,14,0,5,5,3,5,2,0,28,6,13,3,11,16,19,3,3,0,6,28,15
"Ant242",1,1,16,0,31,9,15,4,11,10,0,10,3,3,4,13,18,1,35,8,11,7,0,13,0,8,14,1,0,3,28,0,0,6,4,6,1,17,5,0,6,13,18,12
"Ant243",13,0,6,2,1,5,7,2,1,2,0,3,1,0,8,1,5,1,4,0,13,2,0,14,1,1,0,3,0,0,6,0,0,7,1,3,0,2,1,1,5,9,3,6
"Ant255",8,3,4,10,2,7,2,17,5,8,0,1,0,15,11,2,4,1,38,1,6,1,0,9,0,2,1,0,4,0,13,6,7,0,6,4,0,3,4,0,4,9,5,0
"Ant263",4,1,8,12,0,8,3,1,2,10,0,4,12,5,14,5,7,0,0,0,16,0,0,2,0,7,12,0,3,1,3,4,1,6,0,5,0,1,7,0,5,1,2,5
"Ant294",5,9,3,25,15,3,11,3,4,19,0,1,1,4,12,5,49,2,2,2,5,2,0,2,0,7,1,6,0,1,11,6,3,4,5,0,3,6,4,0,0,6,5,3
"Ant318",1,3,7,1,4,0,4,2,1,7,5,1,0,1,0,5,3,0,0,7,5,21,1,0,0,0,0,18,7,0,16,1,0,0,0,3,0,16,0,3,0,0,4,1
"Ant332",2,21,43,4,4,1,1,1,25,0,0,4,0,7,1,14,4,10,0,2,9,13,12,2,1,12,1,12,16,6,19,17,2,3,1,6,16,0,43,8,1,2,4,3
"Ant342",1,10,41,3,1,9,1,12,12,4,0,10,1,5,6,9,10,25,0,1,8,7,1,3,0,2,12,11,18,10,3,5,1,4,7,4,0,43,0,13,0,2,11,2
"Ant347",0,7,6,0,1,2,0,0,2,0,17,2,0,0,1,4,0,9,0,0,0,2,1,0,2,1,0,0,17,0,3,0,1,0,0,0,3,8,13,0,0,0,7,0
"Ant353",1,2,1,1,1,5,0,0,2,2,0,0,2,0,10,0,3,0,62,2,12,0,0,2,0,0,3,0,0,0,0,6,5,4,5,0,0,1,0,0,0,19,0,0
"Ant387",2,0,2,5,4,0,0,0,1,15,0,3,0,1,3,0,6,0,13,1,4,1,0,11,0,0,7,1,0,0,6,13,9,9,1,6,0,2,2,0,19,0,0,1
"Ant437",1,3,10,9,10,4,8,4,7,6,0,10,1,5,1,4,18,3,0,25,0,3,0,2,3,3,2,0,5,12,28,18,3,5,2,5,4,4,11,7,0,0,0,1
"Ant492",9,3,0,1,3,2,16,6,9,17,0,2,2,4,1,9,28,0,0,2,7,0,0,12,0,7,8,1,2,1,15,12,6,0,5,3,1,3,2,0,0,1,1,0
