"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,2,7,4,1,6,2,2,4,0,0,24,6,2,6,0,0,1,3,2,2,4,3,3,0,1,2,4,1,0,5,4,4,1,8,2,0,12,8,1,4,1,16,4
"Ant6",2,0,7,0,0,1,1,4,3,1,26,0,2,3,1,3,3,27,0,17,3,7,20,3,14,3,1,6,20,7,7,5,0,0,0,0,6,8,10,21,2,0,6,2
"Ant26",7,7,0,0,0,0,1,4,10,0,16,0,0,0,0,7,0,26,0,2,14,10,40,0,5,0,9,8,21,0,3,2,6,1,2,0,15,8,0,12,0,0,9,1
"Ant30",4,0,0,0,10,3,5,1,1,0,0,17,4,10,19,6,13,0,89,3,6,0,0,1,0,0,6,3,0,3,3,7,6,4,0,2,1,5,0,0,10,16,1,1
"Ant148",1,0,0,10,0,2,0,6,7,8,0,3,11,8,1,1,2,0,8,1,4,0,2,0,0,11,6,4,1,3,15,22,4,6,0,17,2,4,2,0,6,14,8,19
"Ant191",6,1,0,3,2,0,14,3,4,1,0,7,3,8,9,8,3,0,51,4,6,14,0,3,0,1,1,8,0,0,5,5,9,3,3,0,4,0,2,0,19,7,3,5
"Ant196",2,1,1,5,0,14,0,29,6,7,0,0,0,6,11,15,8,0,0,9,26,0,0,0,0,4,12,2,1,5,5,7,18,4,1,10,2,3,2,0,2,0,3,4
"Ant209",2,4,4,1,6,3,29,0,5,15,0,1,11,0,2,1,9,0,3,6,18,2,0,3,0,2,4,1,0,6,11,14,10,11,4,2,1,3,11,0,2,2,3,0
"Ant268",4,3,10,1,7,4,6,5,0,16,4,0,2,2,4,6,4,5,0,21,21,0,0,2,0,5,15,5,3,8,4,6,11,3,2,6,15,7,18,7,1,1,11,11
"Ant308",0,1,0,0,8,1,7,15,16,0,0,0,0,0,2,5,5,0,0,7,25,5,3,0,0,0,0,7,1,14,20,26,4,6,7,4,1,8,8,2,3,3,1,3
"Ant620",0,26,16,0,0,0,0,0,4,0,0,0,0,0,0,0,14,20,0,0,0,4,20,0,4,0,0,0,17,0,0,0,0,0,0,0,7,7,0,6,0,0,5,0
"Ant13",24,0,0,17,3,7,0,1,0,0,0,0,16,6,0,0,0,0,19,0,0,3,10,5,0,0,4,5,1,0,3,1,8,3,1,7,3,0,2,2,2,12,0,0
"Ant27",6,2,0,4,11,3,0,11,2,0,0,16,0,3,2,0,7,0,28,0,1,6,3,0,0,2,1,0,0,0,1,5,7,9,0,2,0,0,1,0,2,4,1,2
"Ant29",2,3,0,10,8,8,6,0,2,0,0,6,3,0,2,1,0,0,33,5,0,0,1,18,0,5,1,4,1,0,2,14,8,6,1,10,1,3,2,0,8,0,2,2
"Ant32",6,1,0,19,1,9,11,2,4,2,0,0,2,2,0,0,6,0,0,5,6,1,0,10,0,1,11,4,0,1,2,6,5,5,8,4,1,1,8,2,12,10,3,1
"Ant43",0,3,7,6,1,8,15,1,6,5,0,0,0,1,0,0,11,0,0,6,14,1,0,0,0,4,6,16,0,3,11,4,12,8,10,8,7,3,7,0,2,0,0,9
"Ant50",0,3,0,13,2,3,8,9,4,5,14,0,7,0,6,11,0,4,0,4,33,12,14,0,0,2,9,5,1,6,5,8,13,8,1,5,4,9,6,4,9,6,20,1
"Ant55",1,27,26,0,0,0,0,0,5,0,20,0,0,0,0,0,4,0,0,0,2,17,95,7,7,0,1,1,29,0,1,0,0,0,0,0,0,2,17,19,0,0,5,1
"Ant91",3,0,0,89,8,51,0,3,0,0,0,19,28,33,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,52,13,0,15,2,0,0,0,0,16,11,0,0
"Ant97",2,17,2,3,1,4,9,6,21,7,0,0,0,5,5,6,4,0,0,0,13,0,0,2,0,1,4,5,1,4,15,15,7,6,15,4,9,14,11,0,1,2,6,4
"Ant100",2,3,14,6,4,6,26,18,21,25,0,0,1,0,6,14,33,2,0,13,0,4,0,3,0,0,13,9,5,8,21,6,13,16,9,5,9,9,5,5,10,14,9,13
"Ant113",4,7,10,0,0,14,0,2,0,5,4,3,6,0,1,1,12,17,0,0,4,0,12,0,7,0,4,2,8,0,20,3,0,2,3,3,2,9,1,2,0,0,0,0
"Ant139",3,20,40,0,2,0,0,0,0,3,20,10,3,1,0,0,14,95,2,0,0,12,0,0,11,2,1,2,42,2,3,0,2,0,3,2,0,4,1,21,0,2,9,0
"Ant142",3,3,0,1,0,3,0,3,2,0,0,5,0,18,10,0,0,7,6,2,3,0,0,0,0,2,3,1,3,0,0,2,1,0,1,1,0,1,3,2,5,0,0,7
"Ant156",0,14,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,7,11,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0
"Ant159",1,3,0,0,11,1,4,2,5,0,0,0,2,5,1,4,2,0,0,1,0,0,2,2,0,0,4,6,4,6,7,15,3,1,3,5,0,6,1,0,0,3,2,8
"Ant169",2,1,9,6,6,1,12,4,15,0,0,4,1,1,11,6,9,1,0,4,13,4,1,3,0,4,0,11,1,2,14,4,13,6,7,7,2,7,19,3,4,5,3,4
"Ant195",4,6,8,3,4,8,2,1,5,7,0,5,0,4,4,16,5,1,0,5,9,2,2,1,0,6,11,0,3,7,11,31,3,3,2,11,9,9,4,6,1,1,7,30
"Ant198",1,20,21,0,1,0,1,0,3,1,17,1,0,1,0,0,1,29,0,1,5,8,42,3,18,4,1,3,0,0,4,2,1,6,1,0,5,9,14,13,0,0,6,5
