"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,15,5,5,4,0,6,0,3,0,20,1,1,6,6,15,0,20,1,0,10,0,0,3,0,4,1,3,0,9,5,0,19,0,0,1,10,0,4,0,6,0,0,1,5,2,4,1,8,1,0,3,3,2,8,0,13,0,0,0,1,0,0,0,4,0
"Ant260",15,0,1,14,3,0,0,0,0,1,15,4,0,6,9,1,0,48,5,0,0,0,0,4,0,2,0,7,0,3,3,0,0,0,0,1,0,1,7,0,9,0,0,7,12,0,17,0,1,1,0,1,5,5,3,9,15,0,0,0,0,0,1,3,0,3
"Ant52",5,1,0,6,2,0,8,1,1,0,10,2,0,5,4,10,0,0,1,12,11,0,3,1,0,23,5,6,0,9,3,0,13,0,0,0,24,0,0,2,2,0,5,1,6,4,15,2,17,5,0,4,6,2,3,0,4,0,0,0,2,1,0,1,0,1
"Ant540",5,14,6,0,1,0,16,0,3,1,19,12,1,15,4,16,0,0,4,4,1,0,4,5,0,16,1,15,0,13,10,0,1,0,1,6,14,1,7,0,1,0,6,0,12,3,18,2,17,2,0,4,1,0,0,3,8,0,0,0,1,1,6,1,3,0
"Ant6",4,3,2,1,0,4,1,3,0,10,0,7,22,0,17,5,14,11,2,0,2,6,2,6,32,0,5,14,5,5,19,39,0,27,22,0,2,17,5,15,5,9,3,12,5,0,1,8,0,5,2,5,2,11,2,11,0,37,8,0,9,10,9,3,4,12
"Ant26",0,0,0,0,4,0,0,0,0,2,0,0,3,0,2,0,11,0,0,0,0,2,0,12,17,0,0,0,8,0,4,23,0,12,0,0,0,22,0,6,0,5,0,11,0,0,0,13,0,0,9,0,0,10,0,2,0,14,13,0,16,11,0,0,10,7
"Ant30",6,0,8,16,1,0,0,1,4,1,8,17,5,11,3,13,0,1,3,1,2,0,10,8,0,28,9,8,0,4,5,0,3,0,0,2,3,2,2,0,0,1,4,0,7,1,8,0,5,8,0,2,9,0,5,1,7,0,0,0,0,0,1,0,2,1
"Ant38",0,0,1,0,3,0,1,0,1,8,1,1,5,0,8,5,0,5,1,0,2,0,3,2,0,0,5,1,0,0,7,2,0,0,0,5,0,10,8,1,21,1,8,1,3,0,0,5,1,3,0,8,2,1,0,10,0,0,0,0,3,2,3,1,12,3
"Ant148",3,0,1,3,0,0,4,1,0,5,2,12,2,0,2,7,0,0,1,1,5,0,3,6,0,0,4,2,0,1,1,0,0,0,0,23,0,2,7,0,5,3,8,0,42,0,6,0,8,20,0,0,5,12,5,20,0,0,0,0,2,0,8,0,5,0
"Ant158",0,1,0,1,10,2,1,8,5,0,1,9,4,0,8,1,5,0,0,0,0,5,5,11,27,0,7,14,2,8,14,29,0,22,8,8,0,18,1,12,5,4,4,11,5,0,1,10,2,3,13,1,12,4,2,2,1,37,10,0,2,6,8,0,5,3
