"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,0,0,1,8,12,3,2,3,11,0,2,12,1,2,1,16,0,33,8,3,2,0,4,0,3,5,4,1,1,9,4,1,5,2,6,1,8,6,0,0,0,0,2
"Ant6",0,0,23,1,1,0,2,1,11,4,5,2,0,0,0,0,1,15,1,1,1,3,1,0,5,1,0,2,6,1,5,4,0,0,0,3,4,2,7,25,0,0,5,1
"Ant26",0,23,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,14,0,0,0,0,39,0,2,0,0,0,13,0,0,0,0,0,0,0,7,3,0,15,0,0,0,0
"Ant30",1,1,0,0,7,2,4,5,2,15,0,6,7,0,1,1,8,0,9,12,12,1,0,0,0,2,8,4,1,13,10,13,2,2,5,9,2,4,8,0,5,0,6,6
"Ant148",8,1,0,7,0,8,42,1,1,1,0,5,0,0,0,3,14,0,0,1,1,0,0,0,0,8,6,4,1,8,0,10,8,4,2,27,2,0,13,0,3,1,41,6
"Ant191",12,0,0,2,8,0,10,3,7,24,0,10,2,2,12,11,1,0,8,0,1,5,0,5,0,2,4,5,2,5,4,6,7,17,3,8,3,3,9,0,6,5,1,3
"Ant196",3,2,0,4,42,10,0,2,3,0,0,10,3,0,5,17,16,0,1,0,3,4,0,2,0,8,29,14,5,5,14,13,0,4,15,10,0,15,9,0,4,3,26,18
"Ant209",2,1,0,5,1,3,2,0,10,3,0,3,1,7,0,2,5,0,3,7,2,0,0,1,0,6,3,2,1,4,8,5,11,2,4,0,4,10,1,0,17,7,1,7
"Ant268",3,11,0,2,1,7,3,10,0,3,0,16,2,1,6,9,7,0,3,17,6,2,0,0,0,8,2,10,8,12,7,14,3,1,4,12,0,11,10,0,0,0,3,7
"Ant308",11,4,0,15,1,24,0,3,3,0,0,2,0,2,3,7,8,0,2,12,22,3,0,1,0,3,15,5,11,9,15,16,14,11,15,9,6,14,5,0,9,4,12,9
"Ant620",0,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,16,0,22,0,0,0,1,0,0,0,0,0,0,0,3,6,0,22,0,0,0,0
"Ant13",2,2,0,6,5,10,10,3,16,2,0,0,0,3,2,2,4,0,0,17,8,3,0,1,0,5,7,7,5,6,22,1,6,2,4,6,3,3,10,0,2,3,12,6
"Ant27",12,0,0,7,0,2,3,1,2,0,0,0,0,0,1,8,3,0,33,0,0,1,0,0,0,0,5,1,1,3,9,0,8,6,1,8,1,2,2,0,4,2,6,4
"Ant29",1,0,0,0,0,2,0,7,1,2,0,3,0,0,5,4,0,0,3,3,8,0,0,1,0,12,8,1,0,1,2,2,0,8,7,2,0,1,2,0,6,3,0,0
"Ant32",2,0,0,1,0,12,5,0,6,3,0,2,1,5,0,1,9,0,4,3,9,2,0,5,0,1,26,0,0,1,1,4,9,4,0,4,2,8,1,0,2,0,3,4
"Ant43",1,0,0,1,3,11,17,2,9,7,0,2,8,4,1,0,7,0,3,5,12,2,0,0,0,7,9,9,1,11,21,1,0,5,2,13,0,3,7,0,2,3,5,7
"Ant50",16,1,0,8,14,1,16,5,7,8,0,4,3,0,9,7,0,0,16,19,24,8,0,7,0,7,22,9,7,16,9,21,23,2,0,25,2,14,10,0,2,6,11,4
"Ant55",0,15,14,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,1,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0
"Ant91",33,1,0,9,0,8,1,3,3,2,0,0,33,3,4,3,16,0,0,3,3,6,0,10,0,0,22,2,0,5,2,13,5,48,13,0,0,0,4,0,47,14,1,0
"Ant97",8,1,0,12,1,0,0,7,17,12,0,17,0,3,3,5,19,0,3,0,10,0,0,0,0,11,2,4,8,1,31,18,6,3,0,10,4,23,3,0,3,2,1,1
"Ant100",3,1,0,12,1,1,3,2,6,22,0,8,0,8,9,12,24,0,3,10,0,7,0,0,0,5,12,6,0,19,15,15,10,6,13,2,3,2,1,0,18,5,3,7
"Ant113",2,3,0,1,0,5,4,0,2,3,0,3,1,0,2,2,8,0,6,0,7,0,3,11,0,2,4,6,29,14,0,24,7,0,0,1,11,27,20,0,3,1,21,0
"Ant139",0,1,39,0,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,3,0,0,7,0,0,0,5,0,0,0,0,0,0,0,4,1,0,8,0,0,0,0
"Ant142",4,0,0,0,0,5,2,1,0,1,0,1,0,1,5,0,7,0,10,0,0,11,0,0,0,1,12,0,2,1,0,10,2,12,1,4,2,11,0,0,14,2,3,3
"Ant156",0,5,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
"Ant159",3,1,0,2,8,2,8,6,8,3,0,5,0,12,1,7,7,0,0,11,5,2,0,1,0,0,2,30,4,8,6,13,1,1,4,1,1,8,15,0,5,2,9,7
"Ant169",5,0,0,8,6,4,29,3,2,15,0,7,5,8,26,9,22,0,22,2,12,4,0,12,0,2,0,5,1,5,6,6,2,4,2,1,3,1,22,0,9,9,5,6
"Ant195",4,2,0,4,4,5,14,2,10,5,0,7,1,1,0,9,9,0,2,4,6,6,0,0,0,30,5,0,5,4,19,8,2,5,11,7,6,9,2,0,0,9,8,5
"Ant198",1,6,13,1,1,2,5,1,8,11,1,5,1,0,0,1,7,1,0,8,0,29,5,2,0,4,1,5,0,6,4,9,0,1,0,13,6,20,19,4,1,0,6,10
"Ant207",1,1,0,13,8,5,5,4,12,9,0,6,3,1,1,11,16,0,5,1,19,14,0,1,0,8,5,4,6,0,16,14,6,0,1,7,2,50,16,0,5,3,13,18
"Ant218",9,5,0,10,0,4,14,8,7,15,0,22,9,2,1,21,9,0,2,31,15,0,0,0,0,6,6,19,4,16,0,20,1,4,3,15,19,30,16,0,6,9,9,7
"Ant242",4,4,0,13,10,6,13,5,14,16,0,1,0,2,4,1,21,0,13,18,15,24,0,10,0,13,6,8,9,14,20,0,8,1,1,7,11,12,15,0,1,4,3,5
"Ant243",1,0,0,2,8,7,0,11,3,14,0,6,8,0,9,0,23,0,5,6,10,7,0,2,0,1,2,2,0,6,1,8,0,8,2,6,3,1,2,0,6,0,8,5
"Ant255",5,0,0,2,4,17,4,2,1,11,0,2,6,8,4,5,2,0,48,3,6,0,0,12,0,1,4,5,1,0,4,1,8,0,6,2,0,0,0,0,19,3,2,14
"Ant263",2,0,0,5,2,3,15,4,4,15,0,4,1,7,0,2,0,0,13,0,13,0,0,1,0,4,2,11,0,1,3,1,2,6,0,10,1,4,6,0,4,1,5,0
"Ant294",6,3,0,9,27,8,10,0,12,9,0,6,8,2,4,13,25,0,0,10,2,1,0,4,0,1,1,7,13,7,15,7,6,2,10,0,6,10,7,0,3,5,16,4
"Ant318",1,4,7,2,2,3,0,4,0,6,3,3,1,0,2,0,2,4,0,4,3,11,4,2,4,1,3,6,6,2,19,11,3,0,1,6,0,25,4,1,2,0,10,1
"Ant332",8,2,3,4,0,3,15,10,11,14,6,3,2,1,8,3,14,0,0,23,2,27,1,11,0,8,1,9,20,50,30,12,1,0,4,10,25,0,42,0,1,0,11,3
"Ant342",6,7,0,8,13,9,9,1,10,5,0,10,2,2,1,7,10,0,4,3,1,20,0,0,0,15,22,2,19,16,16,15,2,0,6,7,4,42,0,0,7,3,14,9
"Ant347",0,25,15,0,0,0,0,0,0,0,22,0,0,0,0,0,0,16,0,0,0,0,8,0,3,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ant353",0,0,0,5,3,6,4,17,0,9,0,2,4,6,2,2,2,0,47,3,18,3,0,14,0,5,9,0,1,5,6,1,6,19,4,3,2,1,7,0,0,14,2,1
"Ant387",0,0,0,0,1,5,3,7,0,4,0,3,2,3,0,3,6,0,14,2,5,1,0,2,0,2,9,9,0,3,9,4,0,3,1,5,0,0,3,0,14,0,0,2
"Ant437",0,5,0,6,41,1,26,1,3,12,0,12,6,0,3,5,11,0,1,1,3,21,0,3,0,9,5,8,6,13,9,3,8,2,5,16,10,11,14,0,2,0,0,7
"Ant492",2,1,0,6,6,3,18,7,7,9,0,6,4,0,4,7,4,0,0,1,7,0,0,3,0,7,6,5,10,18,7,5,5,14,0,4,1,3,9,0,1,2,7,0
