"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,0,1,0,3,7,0,0,1,0,0,11,0,10,0,3,0,0,0,0,7,0,2,2,8,3,0,1,13,0,0
"Ant30",0,0,3,5,11,0,1,0,4,2,3,1,1,8,13,17,0,0,8,24,22,10,1,12,3,4,0,0,3,0,1
"Ant148",1,3,0,4,7,0,0,6,11,0,1,0,7,2,4,1,2,0,2,8,1,7,5,0,0,2,0,4,2,0,1
"Ant191",0,5,4,0,7,0,1,1,1,0,11,12,5,15,12,5,0,0,7,7,3,24,5,3,2,4,0,0,0,0,3
"Ant196",3,11,7,7,0,6,2,4,1,0,2,6,5,5,1,22,5,0,0,3,0,19,13,6,3,2,0,7,0,11,3
"Ant209",7,0,0,0,6,0,0,4,3,5,4,4,6,31,0,12,0,0,0,0,0,0,7,13,1,3,0,1,9,9,0
"Ant308",0,1,0,1,2,0,0,12,8,1,2,3,27,1,3,7,0,0,5,11,4,4,6,43,4,0,2,3,0,2,4
"Ant13",0,0,6,1,4,4,12,0,2,2,3,9,9,1,6,20,3,0,12,8,10,7,22,6,12,2,4,8,2,0,1
"Ant27",1,4,11,1,1,3,8,2,0,0,2,5,4,14,1,2,0,0,2,2,2,14,5,1,1,6,0,1,0,0,1
"Ant29",0,2,0,0,0,5,1,2,0,0,0,0,3,6,0,28,0,0,0,2,0,5,0,7,0,1,0,2,16,0,0
"Ant32",0,3,1,11,2,4,2,3,2,0,0,6,3,7,1,2,0,0,0,1,3,2,1,3,5,0,0,4,2,0,0
"Ant43",11,1,0,12,6,4,3,9,5,0,6,0,18,2,19,1,1,0,0,6,1,13,10,3,5,12,0,2,0,0,8
"Ant50",0,1,7,5,5,6,27,9,4,3,3,18,0,18,12,8,5,8,1,15,6,9,6,49,8,9,2,9,3,13,5
"Ant91",10,8,2,15,5,31,1,1,14,6,7,2,18,0,2,40,0,0,0,5,1,5,7,1,13,0,0,0,23,8,1
"Ant97",0,13,4,12,1,0,3,6,1,0,1,19,12,2,0,4,0,0,6,32,2,49,8,14,1,9,0,9,0,0,7
"Ant100",3,17,1,5,22,12,7,20,2,28,2,1,8,40,4,0,3,0,17,7,25,18,6,5,17,1,0,2,1,0,4
"Ant139",0,0,2,0,5,0,0,3,0,0,0,1,5,0,0,3,0,4,5,7,0,5,1,0,0,3,7,3,0,0,1
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,2,0,0,0,3,10,0,0,0
"Ant159",0,8,2,7,0,0,5,12,2,0,0,0,1,0,6,17,5,0,0,2,4,12,17,5,5,4,0,10,6,4,11
"Ant195",0,24,8,7,3,0,11,8,2,2,1,6,15,5,32,7,7,0,2,0,9,27,20,12,0,8,1,7,7,0,21
"Ant207",7,22,1,3,0,0,4,10,2,0,3,1,6,1,2,25,0,0,4,9,0,43,22,9,0,9,0,10,5,0,6
"Ant218",0,10,7,24,19,0,4,7,14,5,2,13,9,5,49,18,5,0,12,27,43,0,25,17,6,22,2,11,1,4,21
"Ant242",2,1,5,5,13,7,6,22,5,0,1,10,6,7,8,6,1,2,17,20,22,25,0,6,9,16,2,27,4,3,10
"Ant243",2,12,0,3,6,13,43,6,1,7,3,3,49,1,14,5,0,0,5,12,9,17,6,0,5,0,0,4,2,7,13
"Ant263",8,3,0,2,3,1,4,12,1,0,5,5,8,13,1,17,0,0,5,0,0,6,9,5,0,6,2,0,5,3,0
"Ant294",3,4,2,4,2,3,0,2,6,1,0,12,9,0,9,1,3,0,4,8,9,22,16,0,6,0,0,8,0,0,14
"Ant318",0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,7,3,0,1,0,2,2,0,2,0,0,21,0,0,2
"Ant332",1,0,4,0,7,1,3,8,1,2,4,2,9,0,9,2,3,10,10,7,10,11,27,4,0,8,21,0,3,7,8
"Ant353",13,3,2,0,0,9,0,2,0,16,2,0,3,23,0,1,0,0,6,7,5,1,4,2,5,0,0,3,0,24,0
"Ant387",0,0,0,0,11,9,2,0,0,0,0,0,13,8,0,0,0,0,4,0,0,4,3,7,3,0,0,7,24,0,1
"Ant492",0,1,1,3,3,0,4,1,1,0,0,8,5,1,7,4,1,0,11,21,6,21,10,13,0,14,2,8,0,1,0
