"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,1,4,4,5,2,7,7,4,7,0,2,5,2,3,5,7,0,4,1,8,3,0,4,0,3,1,5,3,1,14,9,2,8,5,2,0,2,4,0,8,0,2,1
"Ant6",1,0,5,1,1,1,5,1,7,3,8,2,1,1,1,0,9,3,0,9,0,14,5,0,1,0,0,8,5,0,8,2,0,0,0,6,5,4,4,5,0,0,5,4
"Ant26",4,5,0,8,0,0,6,2,16,48,46,6,1,1,4,15,11,6,0,20,15,15,1,10,25,21,5,16,2,29,16,22,6,5,1,8,16,6,12,5,1,1,8,7
"Ant30",4,1,8,0,3,9,25,4,3,5,0,4,7,2,3,6,16,0,4,4,8,2,0,0,0,4,11,3,2,8,7,10,7,1,7,6,1,7,6,0,0,0,10,4
"Ant148",5,1,0,3,0,5,33,11,3,6,0,2,7,1,2,2,21,0,1,0,1,2,0,1,0,1,0,16,0,0,15,4,5,1,4,15,3,1,3,0,0,0,48,6
"Ant191",2,1,0,9,5,0,13,15,0,7,0,0,6,4,0,1,18,0,0,3,14,7,2,0,0,3,5,2,0,0,11,4,4,34,3,4,0,2,2,0,2,19,14,8
"Ant196",7,5,6,25,33,13,0,3,9,8,0,10,7,0,0,8,32,0,0,13,1,1,2,0,0,4,2,5,0,0,12,13,3,5,5,14,2,2,5,0,4,0,45,10
"Ant209",7,1,2,4,11,15,3,0,6,2,2,0,1,2,8,2,6,0,0,1,6,8,0,0,0,10,3,3,0,10,11,3,9,1,8,0,0,6,7,0,5,0,1,2
"Ant268",4,7,16,3,3,0,9,6,0,11,11,16,1,0,2,2,16,0,1,17,9,6,0,6,0,6,12,6,2,10,11,2,2,2,2,1,1,8,18,0,0,1,18,4
"Ant308",7,3,48,5,6,7,8,2,11,0,1,18,2,5,4,9,21,0,3,11,6,2,1,0,0,10,1,6,2,16,5,20,7,6,8,11,0,2,10,0,0,0,14,12
"Ant620",0,8,46,0,0,0,0,2,11,1,0,0,0,0,1,0,0,18,0,0,11,3,5,4,12,0,5,5,4,15,3,0,0,0,2,1,6,7,3,4,0,2,2,0
"Ant13",2,2,6,4,2,0,10,0,16,18,0,0,1,0,1,11,6,0,0,5,8,2,0,0,0,7,3,4,0,4,8,9,2,1,0,13,0,5,10,0,0,0,18,30
"Ant27",5,1,1,7,7,6,7,1,1,2,0,1,0,1,2,2,3,0,12,4,3,2,0,4,0,2,6,5,2,14,19,2,4,4,1,9,0,10,4,0,1,1,5,2
"Ant29",2,1,1,2,1,4,0,2,0,5,0,0,1,0,14,1,8,0,28,1,8,2,0,1,0,0,14,1,1,0,2,4,1,1,10,1,0,0,8,0,3,0,4,1
"Ant32",3,1,4,3,2,0,0,8,2,4,1,1,2,14,0,4,13,0,4,4,14,1,0,1,0,2,21,0,0,9,3,4,1,16,10,10,2,4,3,0,1,1,0,0
"Ant43",5,0,15,6,2,1,8,2,2,9,0,11,2,1,4,0,9,0,0,15,9,6,0,0,0,4,1,2,0,14,1,7,2,5,1,4,0,3,15,0,0,0,11,16
"Ant50",7,9,11,16,21,18,32,6,16,21,0,6,3,8,13,9,0,0,22,24,10,4,0,0,0,14,3,7,4,19,16,13,7,17,9,20,2,9,11,0,9,5,14,13
"Ant55",0,3,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,34,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0
"Ant91",4,0,0,4,1,0,0,0,1,3,0,0,12,28,4,0,22,0,0,0,18,0,0,11,0,0,0,0,0,1,5,12,3,26,4,1,0,1,7,0,91,12,6,1
"Ant97",1,9,20,4,0,3,13,1,17,11,0,5,4,1,4,15,24,0,0,0,2,0,1,2,0,5,6,6,2,17,7,12,3,3,1,13,10,14,40,0,0,0,6,8
"Ant100",8,0,15,8,1,14,1,6,9,6,11,8,3,8,14,9,10,0,18,2,0,7,0,1,0,7,18,0,8,23,20,10,5,19,10,4,3,22,26,0,1,7,0,1
"Ant113",3,14,15,2,2,7,1,8,6,2,3,2,2,2,1,6,4,0,0,0,7,0,4,3,0,4,2,13,32,28,42,25,4,0,3,2,9,29,18,0,0,0,5,6
"Ant139",0,5,1,0,0,2,2,0,0,1,5,0,0,0,0,0,0,9,0,1,0,4,0,0,5,0,1,2,7,1,1,0,3,0,0,0,11,0,0,0,0,0,0,0
"Ant142",4,0,10,0,1,0,0,0,6,0,4,0,4,1,1,0,0,0,11,2,1,3,0,0,0,0,0,0,1,0,13,0,0,0,0,0,1,4,1,0,9,0,0,0
"Ant156",0,1,25,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
"Ant159",3,0,21,4,1,3,4,10,6,10,0,7,2,0,2,4,14,0,0,5,7,4,0,0,0,0,8,9,0,15,3,14,0,3,2,3,0,7,12,0,0,0,1,4
"Ant169",1,0,5,11,0,5,2,3,12,1,5,3,6,14,21,1,3,0,0,6,18,2,1,0,0,8,0,3,1,7,9,9,11,8,19,2,5,3,13,0,5,8,1,3
"Ant195",5,8,16,3,16,2,5,3,6,6,5,4,5,1,0,2,7,0,0,6,0,13,2,0,0,9,3,0,0,7,8,3,3,1,0,6,3,19,10,0,0,0,13,10
"Ant198",3,5,2,2,0,0,0,0,2,2,4,0,2,1,0,0,4,34,0,2,8,32,7,1,3,0,1,0,0,0,14,2,0,1,1,2,5,17,4,4,0,1,3,1
"Ant207",1,0,29,8,0,0,0,10,10,16,15,4,14,0,9,14,19,0,1,17,23,28,1,0,0,15,7,7,0,0,0,6,2,4,4,13,0,0,15,0,0,0,4,1
"Ant218",14,8,16,7,15,11,12,11,11,5,3,8,19,2,3,1,16,0,5,7,20,42,1,13,0,3,9,8,14,0,0,20,6,6,2,14,2,29,15,0,2,1,9,6
"Ant242",9,2,22,10,4,4,13,3,2,20,0,9,2,4,4,7,13,0,12,12,10,25,0,0,0,14,9,3,2,6,20,0,9,5,13,5,2,10,9,0,0,11,16,9
"Ant243",2,0,6,7,5,4,3,9,2,7,0,2,4,1,1,2,7,0,3,3,5,4,3,0,0,0,11,3,0,2,6,9,0,4,0,1,0,6,6,0,0,1,0,4
"Ant255",8,0,5,1,1,34,5,1,2,6,0,1,4,1,16,5,17,0,26,3,19,0,0,0,0,3,8,1,1,4,6,5,4,0,7,2,0,3,6,0,0,5,4,3
"Ant263",5,0,1,7,4,3,5,8,2,8,2,0,1,10,10,1,9,0,4,1,10,3,0,0,0,2,19,0,1,4,2,13,0,7,0,4,3,0,4,0,4,4,8,10
"Ant294",2,6,8,6,15,4,14,0,1,11,1,13,9,1,10,4,20,0,1,13,4,2,0,0,0,3,2,6,2,13,14,5,1,2,4,0,1,14,13,0,0,0,6,3
"Ant318",0,5,16,1,3,0,2,0,1,0,6,0,0,0,2,0,2,5,0,10,3,9,11,1,0,0,5,3,5,0,2,2,0,0,3,1,0,2,3,1,0,0,12,0
"Ant332",2,4,6,7,1,2,2,6,8,2,7,5,10,0,4,3,9,7,1,14,22,29,0,4,1,7,3,19,17,0,29,10,6,3,0,14,2,0,21,1,0,0,5,3
"Ant342",4,4,12,6,3,2,5,7,18,10,3,10,4,8,3,15,11,0,7,40,26,18,0,1,0,12,13,10,4,15,15,9,6,6,4,13,3,21,0,0,5,6,6,8
"Ant347",0,5,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Ant353",8,0,1,0,0,2,4,5,0,0,0,0,1,3,1,0,9,0,91,0,1,0,0,9,0,0,5,0,0,0,2,0,0,0,4,0,0,0,5,0,0,2,0,1
"Ant387",0,0,1,0,0,19,0,0,1,0,2,0,1,0,1,0,5,0,12,0,7,0,0,0,0,0,8,0,1,0,1,11,1,5,4,0,0,0,6,0,2,0,0,1
"Ant437",2,5,8,10,48,14,45,1,18,14,2,18,5,4,0,11,14,0,6,6,0,5,0,0,0,1,1,13,3,4,9,16,0,4,8,6,12,5,6,0,0,0,0,8
"Ant492",1,4,7,4,6,8,10,2,4,12,0,30,2,1,0,16,13,0,1,8,1,6,0,0,0,4,3,10,1,1,6,9,4,3,10,3,0,3,8,0,1,1,8,0
