"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,0,2,5,2,0,2,0,1,1,13,1,3,19,0,3,0,0,0,1,8,10,3,2,0,6,0,0,3,3,3
"Ant30",0,0,1,12,1,4,6,0,4,0,1,7,15,0,0,3,0,0,4,3,0,1,2,1,2,3,0,3,0,2,0
"Ant148",2,1,0,1,12,3,0,1,12,5,2,10,5,0,3,2,0,0,0,5,9,3,1,4,8,5,0,0,1,0,5
"Ant191",5,12,1,0,14,3,1,2,2,7,11,7,7,7,8,8,0,0,2,8,8,3,4,3,1,2,0,1,8,6,2
"Ant196",2,1,12,14,0,7,10,2,6,3,1,3,10,1,25,4,0,0,1,4,12,14,13,16,6,3,1,3,1,2,1
"Ant209",0,4,3,3,7,0,2,6,5,5,1,7,12,2,0,8,0,0,6,20,11,11,1,17,2,1,1,8,1,8,5
"Ant308",2,6,0,1,10,2,0,5,1,2,1,3,7,4,6,16,0,0,1,9,13,19,30,19,8,7,0,4,0,6,3
"Ant13",0,0,1,2,2,6,5,0,6,1,0,1,10,2,4,7,0,0,17,29,1,12,14,5,2,16,0,4,0,3,11
"Ant27",1,4,12,2,6,5,1,6,0,0,0,0,2,0,6,12,0,0,0,2,5,12,7,1,2,6,1,1,0,2,8
"Ant29",1,0,5,7,3,5,2,1,0,0,5,3,1,15,7,1,0,0,2,2,4,0,1,3,1,0,0,1,1,1,0
"Ant32",13,1,2,11,1,1,1,0,0,5,0,2,0,7,0,5,0,0,0,0,13,9,2,6,7,5,0,0,3,23,0
"Ant43",1,7,10,7,3,7,3,1,0,3,2,0,11,3,4,2,0,0,6,14,22,19,15,1,1,4,0,4,0,10,2
"Ant50",3,15,5,7,10,12,7,10,2,1,0,11,0,0,2,6,0,3,3,5,1,31,8,14,4,2,12,51,7,3,2
"Ant91",19,0,0,7,1,2,4,2,0,15,7,3,0,0,3,14,0,0,0,12,3,2,5,3,0,0,0,0,40,8,0
"Ant97",0,0,3,8,25,0,6,4,6,7,0,4,2,3,0,2,0,0,6,15,14,68,9,2,14,27,0,8,1,4,20
"Ant100",3,3,2,8,4,8,16,7,12,1,5,2,6,14,2,0,0,0,1,15,4,38,8,21,12,1,0,10,1,4,2
"Ant139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,0,0,3,9,0,0,1
"Ant159",0,4,0,2,1,6,1,17,0,2,0,6,3,0,6,1,0,0,0,19,2,10,5,4,2,15,0,1,0,3,6
"Ant195",1,3,5,8,4,20,9,29,2,2,0,14,5,12,15,15,0,0,19,0,17,10,13,2,0,24,5,6,0,0,9
"Ant207",8,0,9,8,12,11,13,1,5,4,13,22,1,3,14,4,0,0,2,17,0,79,17,10,4,11,1,3,0,1,9
"Ant218",10,1,3,3,14,11,19,12,12,0,9,19,31,2,68,38,0,1,10,10,79,0,22,9,13,31,16,31,1,8,17
"Ant242",3,2,1,4,13,1,30,14,7,1,2,15,8,5,9,8,0,2,5,13,17,22,0,4,5,10,12,15,4,3,7
"Ant243",2,1,4,3,16,17,19,5,1,3,6,1,14,3,2,21,0,0,4,2,10,9,4,0,17,15,4,7,0,6,3
"Ant263",0,2,8,1,6,2,8,2,2,1,7,1,4,0,14,12,0,0,2,0,4,13,5,17,0,4,0,0,2,5,1
"Ant294",6,3,5,2,3,1,7,16,6,0,5,4,2,0,27,1,0,0,15,24,11,31,10,15,4,0,0,1,0,1,10
"Ant318",0,0,0,0,1,1,0,0,1,0,0,0,12,0,0,0,0,3,0,5,1,16,12,4,0,0,0,8,0,0,0
"Ant332",0,3,0,1,3,8,4,4,1,1,0,4,51,0,8,10,0,9,1,6,3,31,15,7,0,1,8,0,0,4,4
"Ant353",3,0,1,8,1,1,0,0,0,1,3,0,7,40,1,1,0,0,0,0,0,1,4,0,2,0,0,0,0,7,3
"Ant387",3,2,0,6,2,8,6,3,2,1,23,10,3,8,4,4,0,0,3,0,1,8,3,6,5,1,0,4,7,0,2
"Ant492",3,0,5,2,1,5,3,11,8,0,0,2,2,0,20,2,0,1,6,9,9,17,7,3,1,10,0,4,3,2,0
