"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,6,9,11,4,3,3,0,3,18,1,4,2,15,0,7,0,5,22,6,36,9,0,2,1,12,0,10,0,11,2,0,10,0,0,0,10,0,0,0,2,0,2,0,4,2,10,0,9,12,0,0,3,2,6,5,22,0,0,0,0,0,4,0,20,3
"Ant260",6,0,1,0,0,3,1,1,1,4,0,5,1,11,2,1,1,3,0,6,4,0,3,8,4,0,0,29,11,10,8,11,2,2,0,6,5,4,7,1,0,0,12,0,12,3,3,0,13,11,0,8,7,1,5,10,6,0,1,0,0,0,1,0,14,3
"Ant52",9,1,0,0,0,6,14,0,2,14,4,8,1,0,2,1,0,4,4,8,6,2,16,2,1,8,0,7,0,8,3,3,8,0,0,4,16,0,0,1,0,0,6,0,4,8,2,0,1,7,0,9,7,0,0,4,4,0,0,0,1,0,0,0,6,1
"Ant540",11,0,0,0,0,3,6,0,3,14,17,10,0,7,2,4,0,3,6,35,5,0,6,0,0,1,0,5,0,4,3,2,7,3,0,0,3,0,1,0,0,0,8,0,7,0,24,0,2,11,0,4,0,0,12,10,4,0,0,0,0,0,15,0,13,0
"Ant6",4,0,0,0,0,7,0,1,1,18,0,6,25,0,4,9,0,1,1,1,1,7,4,3,4,0,5,5,0,3,20,35,3,2,12,5,4,18,8,13,7,15,6,1,0,4,2,13,1,4,5,2,22,17,2,9,2,23,28,3,20,15,9,16,14,8
"Ant26",3,3,6,3,7,0,0,0,4,3,0,10,4,0,2,0,0,0,4,0,2,6,0,10,14,0,1,9,15,0,22,31,4,18,0,1,0,16,15,5,0,1,5,8,8,2,0,13,3,10,9,13,11,21,0,4,0,8,6,14,12,14,3,2,8,8
"Ant30",3,1,14,6,0,0,0,1,5,10,1,2,0,9,3,7,0,1,14,0,2,4,1,0,2,4,0,16,1,5,1,1,0,1,0,6,4,0,4,0,0,0,0,0,36,11,3,0,3,0,0,1,1,0,7,3,12,0,0,0,0,0,3,0,7,0
"Ant38",0,1,0,0,1,0,1,0,0,0,1,0,5,0,0,8,8,1,0,0,1,0,2,1,1,0,6,3,0,0,1,6,0,1,0,2,1,0,15,2,46,0,2,0,2,1,0,0,0,1,0,4,7,12,1,8,0,0,0,0,3,1,0,0,10,0
"Ant148",3,1,2,3,1,4,5,0,0,0,0,4,0,0,60,6,1,10,1,0,3,2,4,1,1,0,0,3,0,0,0,6,5,0,0,5,3,0,4,1,4,0,67,0,6,3,2,0,0,25,0,1,2,2,10,75,1,0,0,0,3,0,9,0,18,0
"Ant158",18,4,14,14,18,3,10,0,0,0,5,5,8,7,1,4,0,4,12,9,15,29,4,7,3,15,4,5,0,37,6,13,11,2,0,14,5,7,0,3,5,3,7,0,21,7,11,0,10,8,0,5,23,2,23,11,3,7,9,2,9,6,3,0,13,7
