"","Ant52","Ant30","Ant148","Ant191","Ant196","Ant209","Ant308","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant91","Ant97","Ant100","Ant139","Ant156","Ant159","Ant195","Ant207","Ant218","Ant242","Ant243","Ant263","Ant294","Ant318","Ant332","Ant353","Ant387","Ant492"
"Ant52",0,4,5,4,3,9,0,1,10,0,2,3,3,9,2,8,0,0,0,2,17,11,2,1,0,10,1,1,7,1,2
"Ant30",4,0,0,3,4,3,0,0,3,5,1,2,10,6,5,17,0,0,3,8,5,5,6,11,3,4,0,1,1,6,6
"Ant148",5,0,0,3,4,0,11,4,2,0,3,0,9,2,0,0,0,0,1,2,5,9,6,9,1,4,1,2,4,0,0
"Ant191",4,3,3,0,12,2,8,4,8,2,0,6,5,13,1,4,0,0,1,0,4,8,17,25,8,0,0,3,2,3,0
"Ant196",3,4,4,12,0,9,8,6,14,10,0,10,17,0,9,3,0,0,4,0,0,12,13,1,5,4,6,0,6,6,4
"Ant209",9,3,0,2,9,0,0,3,2,0,0,5,0,0,2,4,0,0,15,1,2,10,6,8,7,4,0,0,3,8,2
"Ant308",0,0,11,8,8,0,0,23,0,1,6,9,20,0,6,11,1,0,2,11,1,26,20,22,4,16,2,13,24,7,1
"Ant13",1,0,4,4,6,3,23,0,2,1,1,3,20,0,0,16,5,0,2,14,4,31,32,11,2,21,2,7,2,11,5
"Ant27",10,3,2,8,14,2,0,2,0,3,0,0,4,22,3,6,0,0,5,8,2,6,7,7,1,6,0,0,11,0,2
"Ant29",0,5,0,2,10,0,1,1,3,0,1,5,9,8,3,14,0,0,0,0,9,6,2,8,5,5,0,0,14,10,0
"Ant32",2,1,3,0,0,0,6,1,0,1,0,4,4,3,1,6,0,0,2,3,6,5,1,6,3,4,0,0,13,3,0
"Ant43",3,2,0,6,10,5,9,3,0,5,4,0,8,6,10,8,0,0,2,0,12,17,3,12,5,7,0,2,6,0,0
"Ant50",3,10,9,5,17,0,20,20,4,9,4,8,0,6,7,25,1,0,10,7,11,37,21,21,13,11,3,3,7,15,3
"Ant91",9,6,2,13,0,0,0,0,22,8,3,6,6,0,0,8,0,0,0,0,0,4,16,1,0,0,0,0,21,5,0
"Ant97",2,5,0,1,9,2,6,0,3,3,1,10,7,0,0,13,0,0,18,32,14,56,8,3,1,14,1,1,1,2,3
"Ant100",8,17,0,4,3,4,11,16,6,14,6,8,25,8,13,0,0,0,18,0,39,21,6,37,8,23,0,3,9,16,4
"Ant139",0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,3,0,0,0,14,4,0,0,0,0,8,0,0,1
"Ant156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,11,0,0,0
"Ant159",0,3,1,1,4,15,2,2,5,0,2,2,10,0,18,18,0,0,0,23,16,19,6,0,7,7,2,0,6,1,10
"Ant195",2,8,2,0,0,1,11,14,8,0,3,0,7,0,32,0,0,0,23,0,8,44,5,7,2,15,0,3,2,2,10
"Ant207",17,5,5,4,0,2,1,4,2,9,6,12,11,0,14,39,0,0,16,8,0,68,3,6,2,20,0,1,2,3,3
"Ant218",11,5,9,8,12,10,26,31,6,6,5,17,37,4,56,21,14,0,19,44,68,0,32,15,30,22,5,21,20,8,26
"Ant242",2,6,6,17,13,6,20,32,7,2,1,3,21,16,8,6,4,0,6,5,3,32,0,10,3,15,0,31,10,12,9
"Ant243",1,11,9,25,1,8,22,11,7,8,6,12,21,1,3,37,0,0,0,7,6,15,10,0,15,36,0,3,4,21,3
"Ant263",0,3,1,8,5,7,4,2,1,5,3,5,13,0,1,8,0,0,7,2,2,30,3,15,0,4,0,1,8,1,0
"Ant294",10,4,4,0,4,4,16,21,6,5,4,7,11,0,14,23,0,0,7,15,20,22,15,36,4,0,3,7,2,2,0
"Ant318",1,0,1,0,6,0,2,2,0,0,0,0,3,0,1,0,0,12,2,0,0,5,0,0,0,3,0,23,0,0,0
"Ant332",1,1,2,3,0,0,13,7,0,0,0,2,3,0,1,3,8,11,0,3,1,21,31,3,1,7,23,0,1,3,3
"Ant353",7,1,4,2,6,3,24,2,11,14,13,6,7,21,1,9,0,0,6,2,2,20,10,4,8,2,0,1,0,1,2
"Ant387",1,6,0,3,6,8,7,11,0,10,3,0,15,5,2,16,0,0,1,2,3,8,12,21,1,2,0,3,1,0,1
"Ant492",2,6,0,0,4,2,1,5,2,0,0,0,3,0,3,4,1,0,10,10,3,26,9,3,0,0,0,3,2,1,0
