"","Ant4","Ant260","Ant52","Ant540","Ant6","Ant26","Ant30","Ant38","Ant148","Ant158","Ant191","Ant196","Ant202","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant42","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant117","Ant137","Ant139","Ant142","Ant149","Ant156","Ant159","Ant169","Ant173","Ant195","Ant198","Ant207","Ant217","Ant218","Ant219","Ant242","Ant243","Ant255","Ant257","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant356","Ant387","Ant390","Ant394","Ant395","Ant437","Ant475","Ant492","Ant501","Ant527","Ant552"
"Ant4",0,21,2,7,0,0,5,0,0,5,4,2,1,15,0,5,0,1,2,0,18,1,6,8,0,0,0,11,0,19,1,6,16,0,0,3,13,0,0,0,0,0,1,0,6,3,4,0,1,6,0,1,2,0,8,2,0,0,1,0,3,0,1,0,1,2
"Ant260",21,0,3,0,5,8,17,3,6,29,8,19,0,14,1,10,0,2,2,3,10,11,7,20,1,0,0,15,5,10,1,13,2,0,0,6,39,2,3,1,5,0,6,11,19,0,0,8,1,7,0,9,4,5,0,6,4,0,0,0,1,2,1,0,6,0
"Ant52",2,3,0,0,1,0,2,1,3,3,15,1,4,10,3,7,0,19,0,5,17,0,1,8,10,1,0,5,3,12,1,4,8,0,2,4,1,0,0,1,0,0,2,0,4,6,10,4,0,6,0,11,1,0,0,4,8,0,0,0,7,0,3,0,1,0
"Ant540",7,0,0,0,0,0,3,1,1,0,12,0,0,6,1,0,1,12,11,16,0,2,0,2,0,26,0,2,4,7,1,0,7,0,0,28,3,0,3,0,0,0,1,0,8,7,10,0,0,14,0,2,0,0,11,0,5,1,0,0,0,0,2,0,0,0
"Ant6",0,5,1,0,0,9,5,6,2,7,2,5,28,4,6,3,2,1,7,3,2,13,2,3,12,6,15,9,5,9,9,32,5,12,5,0,2,28,7,8,5,29,8,11,2,0,2,48,3,0,6,14,20,26,1,4,1,15,25,3,20,46,1,4,14,29
"Ant26",0,8,0,0,9,0,3,0,2,24,0,5,3,3,2,0,0,1,0,0,0,0,0,12,16,0,0,1,9,1,28,23,0,10,3,0,0,37,1,1,0,8,6,6,2,2,3,21,0,0,6,2,3,15,0,2,0,28,30,28,6,20,1,3,9,16
"Ant30",5,17,2,3,5,3,0,0,8,11,6,2,0,10,3,19,0,5,9,3,13,4,15,8,2,0,1,6,1,11,2,3,2,0,0,1,14,0,8,0,0,0,15,0,27,3,3,11,8,8,0,8,3,1,0,3,5,1,1,0,0,2,5,0,4,4
"Ant38",0,3,1,1,6,0,0,0,2,0,0,4,6,0,7,5,14,1,0,0,0,3,8,1,4,0,6,1,0,0,2,14,0,0,1,5,0,0,12,1,38,11,2,0,3,1,0,0,0,1,0,10,0,4,0,12,0,1,0,0,4,2,1,0,9,1
"Ant148",0,6,3,1,2,2,8,2,0,0,4,7,1,2,34,7,5,19,11,0,7,0,3,11,1,0,10,16,4,1,5,0,2,0,0,16,7,0,4,0,3,0,48,0,37,17,9,3,7,21,0,6,1,3,0,49,1,2,0,0,1,1,33,0,1,2
"Ant158",5,29,3,0,7,24,11,0,0,0,5,4,12,10,2,0,0,0,1,1,8,18,25,14,20,0,12,9,12,4,3,29,0,10,1,1,8,20,12,13,0,10,12,16,3,1,3,4,4,2,6,2,59,15,0,11,0,24,11,13,15,12,16,3,8,3
"Ant191",4,8,15,12,2,0,6,0,4,5,0,5,0,9,6,10,0,16,13,25,15,2,6,3,1,16,2,9,0,9,1,1,2,0,1,12,4,0,2,1,0,0,20,0,28,13,9,2,11,2,0,1,5,2,5,5,3,0,0,0,1,3,16,0,0,0
"Ant196",2,19,1,0,5,5,2,4,7,4,5,0,4,1,8,5,6,7,2,0,11,9,1,12,1,0,7,14,0,2,1,9,4,0,0,8,10,0,24,0,3,0,16,3,8,3,14,0,1,11,0,22,2,2,0,14,14,0,4,0,2,1,7,0,4,0
"Ant202",1,0,4,0,28,3,0,6,1,12,0,4,0,0,3,4,3,0,1,2,0,3,0,4,37,0,13,1,0,3,1,70,0,1,1,8,1,32,9,0,5,11,8,8,1,4,0,25,0,1,0,4,6,32,0,10,0,37,25,1,8,8,1,2,11,16
"Ant209",15,14,10,6,4,3,10,0,2,10,9,1,0,0,1,13,0,10,1,7,11,4,4,1,6,2,5,12,2,14,1,1,4,0,0,3,8,2,4,0,0,0,4,0,25,2,8,0,1,6,0,1,9,0,3,8,0,2,1,0,1,1,10,0,0,0
"Ant268",0,1,3,1,6,2,3,7,34,2,6,8,3,1,0,6,5,24,0,0,4,13,8,7,3,1,9,7,4,3,1,8,3,3,3,18,8,1,20,0,2,4,10,1,19,4,6,1,8,16,3,21,2,4,0,19,0,7,4,5,5,4,12,0,10,0
"Ant308",5,10,7,0,3,0,19,5,7,0,10,5,4,13,6,0,2,4,4,1,13,18,24,9,0,0,1,22,2,0,1,3,2,0,0,6,16,0,10,0,9,0,4,0,10,6,9,0,2,5,0,7,0,1,0,8,2,1,2,0,2,0,7,0,4,0
"Ant620",0,0,0,1,2,0,0,14,5,0,0,6,3,0,5,2,0,2,0,0,0,2,15,9,0,0,7,0,3,0,2,2,0,0,6,2,0,0,3,1,21,3,1,0,4,1,0,0,0,6,14,13,0,2,0,3,0,0,0,0,2,6,1,0,5,4
"Ant13",1,2,19,12,1,1,5,1,19,0,16,7,0,10,24,4,2,0,0,0,10,15,4,1,1,0,9,19,1,0,3,1,2,0,0,19,6,0,17,1,2,1,6,0,19,1,5,2,2,32,0,9,6,3,0,7,1,0,0,0,4,3,2,0,4,0
"Ant27",2,2,0,11,7,0,9,0,11,1,13,2,1,1,0,4,0,0,0,8,8,4,0,13,1,66,5,0,1,6,0,2,0,0,0,4,2,0,7,0,1,0,3,0,3,4,4,0,3,11,0,2,1,0,6,3,4,1,0,0,0,0,2,0,1,1
"Ant29",0,3,5,16,3,0,3,0,0,1,25,0,2,7,0,1,0,0,8,0,0,1,1,6,0,14,2,2,3,8,0,1,0,0,0,1,1,0,7,0,0,0,9,0,6,2,18,0,15,1,0,4,7,0,1,0,10,0,0,0,0,1,1,0,0,0
"Ant32",18,10,17,0,2,0,13,0,7,8,15,11,0,11,4,13,0,10,8,0,0,0,17,14,2,2,0,8,0,2,0,2,9,0,0,1,9,0,2,1,1,2,10,0,12,13,13,0,5,20,0,2,5,0,0,5,3,0,0,0,3,1,2,0,0,1
"Ant42",1,11,0,2,13,0,4,3,0,18,2,9,3,4,13,18,2,15,4,1,0,0,14,6,0,0,9,9,3,1,2,8,1,0,0,10,6,5,10,8,2,0,4,1,5,4,4,0,3,9,5,18,37,6,0,30,0,2,3,0,6,15,7,0,0,7
"Ant43",6,7,1,0,2,0,15,8,3,25,6,1,0,4,8,24,15,4,0,1,17,14,0,9,2,0,17,7,2,6,0,15,0,0,0,5,4,1,7,21,7,0,4,0,9,14,4,0,2,8,0,13,18,2,0,13,0,0,3,0,1,3,17,0,4,1
"Ant50",8,20,8,2,3,12,8,1,11,14,3,12,4,1,7,9,9,1,13,6,14,6,9,0,13,4,3,17,2,11,7,13,4,6,1,23,4,14,9,5,4,5,9,3,2,10,8,7,1,14,3,17,1,6,1,8,1,9,12,1,11,3,10,0,11,9
"Ant55",0,1,10,0,12,16,2,4,1,20,1,1,37,6,3,0,0,1,1,0,2,0,2,13,0,0,1,1,8,3,11,58,0,44,2,0,0,71,3,3,1,17,1,28,2,1,1,15,1,1,12,4,14,38,0,4,0,98,39,14,14,5,2,6,9,15
"Ant91",0,0,1,26,6,0,0,0,0,0,16,0,0,2,1,0,0,0,66,14,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,19,12,45,0,21,1,0,2,0,0,100,0,55,0,0,0,0,1,0,0,0,0
"Ant97",0,0,0,0,15,0,1,6,10,12,2,7,13,5,9,1,7,9,5,2,0,9,17,3,1,0,0,10,2,1,4,17,1,0,8,4,2,0,14,11,11,3,12,0,8,8,4,3,2,9,11,24,12,3,0,7,0,11,6,0,4,17,7,0,3,2
"Ant100",11,15,5,2,9,1,6,1,16,9,9,14,1,12,7,22,0,19,0,2,8,9,7,17,1,0,10,0,5,4,3,6,17,0,0,6,19,2,2,1,1,0,3,7,15,4,5,0,8,30,3,6,10,3,0,17,1,2,2,0,3,1,10,0,6,3
"Ant113",0,5,3,4,5,9,1,0,4,12,0,0,0,2,4,2,3,1,1,3,0,3,2,2,8,0,2,5,0,19,11,10,0,9,1,0,4,4,3,1,5,0,3,1,2,0,13,12,4,1,0,1,9,6,0,12,1,20,0,5,2,7,3,2,3,8
"Ant117",19,10,12,7,9,1,11,0,1,4,9,2,3,14,3,0,0,0,6,8,2,1,6,11,3,0,1,4,19,0,1,25,2,0,0,7,4,12,5,0,0,0,9,1,2,0,11,10,0,1,0,3,31,5,0,1,4,2,1,0,7,5,1,0,2,7
"Ant137",1,1,1,1,9,28,2,2,5,3,1,1,1,1,1,1,2,3,0,0,0,2,0,7,11,0,4,3,11,1,0,25,4,28,0,0,2,27,1,6,1,3,2,5,0,0,5,25,0,1,6,6,9,23,0,2,0,14,9,30,19,1,2,0,1,1
"Ant139",6,13,4,0,32,23,3,14,0,29,1,9,70,1,8,3,2,1,2,1,2,8,15,13,58,0,17,6,10,25,25,0,0,24,6,0,10,91,9,35,14,43,2,55,7,1,1,45,0,2,14,4,22,42,1,3,3,83,39,22,14,12,11,15,16,11
"Ant142",16,2,8,7,5,0,2,0,2,0,2,4,0,4,3,2,0,2,0,0,9,1,0,4,0,0,1,17,0,2,4,0,0,0,0,0,12,0,0,0,0,0,1,1,10,5,1,0,2,18,1,2,0,0,0,8,1,0,0,0,2,0,0,0,0,0
"Ant149",0,0,0,0,12,10,0,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0,0,6,44,0,0,0,9,0,28,24,0,0,1,0,0,24,0,11,0,1,0,6,0,0,0,8,0,0,9,1,0,28,0,2,0,38,12,30,10,8,0,8,24,13
"Ant156",0,0,2,0,5,3,0,1,0,1,1,0,1,0,3,0,6,0,0,0,0,0,0,1,2,0,8,0,1,0,0,6,0,1,0,0,1,5,1,3,3,4,0,0,2,0,0,2,0,4,0,3,2,1,0,1,0,5,1,0,2,2,0,0,1,0
"Ant159",3,6,4,28,0,0,1,5,16,1,12,8,8,3,18,6,2,19,4,1,1,10,5,23,0,3,4,6,0,7,0,0,0,0,0,0,5,0,11,3,2,1,21,1,4,1,0,2,2,25,1,10,5,2,1,20,1,0,1,0,1,1,9,0,4,0
