"","Ant52","Ant6","Ant26","Ant30","Ant148","Ant191","Ant196","Ant209","Ant268","Ant308","Ant620","Ant13","Ant27","Ant29","Ant32","Ant43","Ant50","Ant55","Ant91","Ant97","Ant100","Ant113","Ant139","Ant142","Ant156","Ant159","Ant169","Ant195","Ant198","Ant207","Ant218","Ant242","Ant243","Ant255","Ant263","Ant294","Ant318","Ant332","Ant342","Ant347","Ant353","Ant387","Ant437","Ant492"
"Ant52",0,1,1,1,4,3,1,3,1,4,0,8,16,1,8,1,6,0,10,0,6,7,0,1,0,1,0,4,1,0,0,5,1,0,0,0,1,1,0,0,34,0,3,1
"Ant6",1,0,31,1,0,0,2,0,5,4,16,4,1,0,4,1,11,11,0,13,3,9,9,0,0,6,1,3,14,2,4,5,6,0,0,2,3,9,19,4,1,1,5,6
"Ant26",1,31,0,0,0,2,1,0,3,10,18,2,0,0,2,0,27,8,0,0,8,22,3,0,0,3,9,1,6,0,14,0,0,0,0,1,6,22,6,8,4,0,3,0
"Ant30",1,1,0,0,2,16,10,12,3,5,0,1,4,0,18,6,16,1,23,1,21,6,0,4,0,4,3,0,2,2,10,4,4,23,14,14,2,0,4,0,11,1,3,2
"Ant148",4,0,0,2,0,8,14,2,4,2,0,1,1,0,2,9,1,1,0,3,0,0,0,0,0,14,1,8,1,0,22,24,7,0,3,28,0,1,0,0,0,1,3,25
"Ant191",3,0,2,16,8,0,4,11,2,2,0,2,8,3,18,16,7,1,2,2,9,5,0,8,0,5,5,1,0,0,0,4,8,2,17,2,5,0,1,1,1,5,0,2
"Ant196",1,2,1,10,14,4,0,11,17,9,0,1,0,0,9,1,15,5,6,17,3,2,1,0,0,2,3,3,2,1,21,5,7,7,16,8,2,6,10,0,0,10,3,24
"Ant209",3,0,0,12,2,11,11,0,0,8,0,1,0,3,6,15,10,3,0,1,7,1,1,5,0,3,2,4,0,10,10,13,9,0,3,12,0,5,2,0,1,2,3,15
"Ant268",1,5,3,3,4,2,17,0,0,7,0,5,1,5,1,10,14,1,4,8,15,1,5,4,0,7,1,10,9,8,14,13,3,5,2,7,4,11,7,0,2,8,9,11
"Ant308",4,4,10,5,2,2,9,8,7,0,0,12,2,0,9,6,15,0,2,7,10,1,2,0,0,4,3,6,3,7,8,30,3,9,22,11,1,3,7,0,4,4,7,13
"Ant620",0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,23,0,1,0,0,0,5,0,0,0,0,0,0,0,1,2,0,10,0,0,3,0
"Ant13",8,4,2,1,1,2,1,1,5,12,0,0,4,11,2,4,7,8,1,4,2,3,0,0,0,3,0,7,3,6,17,8,0,1,4,13,3,14,7,0,1,8,2,14
"Ant27",16,1,0,4,1,8,0,0,1,2,0,4,0,1,7,0,1,1,14,1,3,3,1,19,0,0,8,4,1,0,16,5,7,19,7,0,0,1,6,0,3,0,2,1
"Ant29",1,0,0,0,0,3,0,3,5,0,0,11,1,0,2,0,1,0,63,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,5,0,0
"Ant32",8,4,2,18,2,18,9,6,1,9,0,2,7,2,0,1,10,0,10,3,8,0,1,6,0,10,7,2,0,0,3,15,1,5,7,5,0,0,2,0,24,5,3,2
"Ant43",1,1,0,6,9,16,1,15,10,6,0,4,0,0,1,0,6,0,0,14,5,8,2,7,0,2,0,2,2,13,8,7,8,0,2,8,0,4,2,1,5,0,11,9
"Ant50",6,11,27,16,1,7,15,10,14,15,0,7,1,1,10,6,0,3,8,15,23,12,8,1,0,7,9,7,1,2,17,16,21,9,18,4,2,6,8,0,8,3,9,28
"Ant55",0,11,8,1,1,1,5,3,1,0,19,8,1,0,0,0,3,0,0,0,4,18,24,0,0,1,1,0,7,3,10,0,1,0,0,1,11,22,9,2,1,1,4,3
"Ant91",10,0,0,23,0,2,6,0,4,2,0,1,14,63,10,0,8,0,0,0,2,0,1,11,0,0,2,0,0,0,0,8,1,9,5,1,0,0,1,0,0,2,3,0
"Ant97",0,13,0,1,3,2,17,1,8,7,0,4,1,0,3,14,15,0,0,0,14,5,7,0,0,15,5,15,0,26,13,8,11,0,2,4,4,0,3,0,0,17,11,5
"Ant100",6,3,8,21,0,9,3,7,15,10,0,2,3,0,8,5,23,4,2,14,0,16,3,1,0,9,2,5,0,6,10,15,8,4,19,8,0,2,1,0,1,5,13,2
"Ant113",7,9,22,6,0,5,2,1,1,1,0,3,3,0,0,8,12,18,0,5,16,0,8,2,0,2,10,5,5,5,0,6,5,0,0,8,12,22,11,3,13,0,2,2
